,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 동우이앤씨,y
1117,2019-10-21,0.9911742784252203,0.9785970429647551,1.011408805066269,0.9911742784252203,0.9911742784252203,0.003263754800973276,0.003263754800973276,0.003263754800973276,0.0014546478627746624,0.0014546478627746624,0.0014546478627746624,0.0018091069381986136,0.0018091069381986136,0.0018091069381986136,0.0,0.0,0.0,0.9944380332261936,1.0035167806
1118,2019-10-23,0.9911785654620546,0.977175498490194,1.0097378817923615,0.9911785654620546,0.9911785654620546,0.0029126805760653907,0.0029126805760653907,0.0029126805760653907,0.0012440829294501612,0.0012440829294501612,0.0012440829294501612,0.0016685976466152294,0.0016685976466152294,0.0016685976466152294,0.0,0.0,0.0,0.99409124603812,0.9913535744
1119,2019-10-24,0.9911807089804717,0.978355756768751,1.0097526538608625,0.9911807089804717,0.9911807089804717,0.002962933619317058,0.002962933619317058,0.002962933619317058,0.001379548950901372,0.001379548950901372,0.001379548950901372,0.0015833846684156865,0.0015833846684156865,0.0015833846684156865,0.0,0.0,0.0,0.9941436425997888,0.9939968197
1120,2019-10-25,0.9911828524988888,0.9792500295408827,1.0087167784173343,0.9911828524988888,0.9911828524988888,0.002977039053649318,0.002977039053649318,0.002977039053649318,0.0014890635471682435,0.0014890635471682435,0.0014890635471682435,0.0014879755064810744,0.0014879755064810744,0.0014879755064810744,0.0,0.0,0.0,0.9941598915525381,0.9885613571
1121,2019-10-28,0.9911892830541403,0.9782975751828265,1.009355103659873,0.9911892830541403,0.9911892830541403,0.002598367048280068,0.002598367048280068,0.002598367048280068,0.0014546478627665749,0.0014546478627665749,0.0014546478627665749,0.001143719185513493,0.001143719185513493,0.001143719185513493,0.0,0.0,0.0,0.9937876501024204,0.9885594093
1122,2019-10-29,0.9911914265725575,0.9784897991966099,1.0101120700665918,0.9911914265725575,0.9911914265725575,0.003205563494617419,0.003205563494617419,0.003205563494617419,0.0021934312220618164,0.0021934312220618164,0.0021934312220618164,0.0010121322725556029,0.0010121322725556029,0.0010121322725556029,0.0,0.0,0.0,0.994396990067175,0.9939956683
1123,2019-10-30,0.9911935700909746,0.9788989060159368,1.0084192049653051,0.9911935700909746,0.9911935700909746,0.0021181813586468356,0.0021181813586468356,0.0021181813586468356,0.001244082929449132,0.001244082929449132,0.001244082929449132,0.0008740984291977033,0.0008740984291977033,0.0008740984291977033,0.0,0.0,0.0,0.9933117514496215,0.9995369298
1124,2019-10-31,0.9911957136093917,0.9770671838955183,1.0074562606237014,0.9911957136093917,0.9911957136093917,0.002110744938184354,0.002110744938184354,0.002110744938184354,0.001379548950901957,0.001379548950901957,0.001379548950901957,0.0007311959872823968,0.0007311959872823968,0.0007311959872823968,0.0,0.0,0.0,0.993306458547576,0.9861849623
1125,2019-11-01,0.991197857127809,0.9773803384931692,1.0085650473466206,0.991197857127809,0.991197857127809,0.002074291542209999,0.002074291542209999,0.002074291542209999,0.0014890635471651109,0.0014890635471651109,0.0014890635471651109,0.0005852279950448878,0.0005852279950448878,0.0005852279950448878,0.0,0.0,0.0,0.9932721486700189,0.9839602859
1126,2019-11-05,0.9912064312014776,0.9773381258927999,1.008191272427851,0.9912064312014776,0.9912064312014776,0.002205681013445733,0.002205681013445733,0.002205681013445733,0.002193431222060181,0.002193431222060181,0.002193431222060181,1.2249791385551894e-05,1.2249791385551894e-05,1.2249791385551894e-05,0.0,0.0,0.0,0.9934121122149233,0.9861697949
1127,2019-11-06,0.9912085747198948,0.9774822652877204,1.0078322152295884,0.9912085747198948,0.9912085747198948,0.001126851082375527,0.001126851082375527,0.001126851082375527,0.001244082929448893,0.001244082929448893,0.001244082929448893,-0.00011723184707336611,-0.00011723184707336611,-0.00011723184707336611,0.0,0.0,0.0,0.9923354258022703,0.9897944189
1128,2019-11-08,0.991212861756729,0.9769732265492912,1.0081766192981405,0.991212861756729,0.991212861756729,0.0011444291643601524,0.0011444291643601524,0.0011444291643601524,0.0014890635471713838,0.0014890635471713838,0.0014890635471713838,-0.0003446343828112313,-0.0003446343828112313,-0.0003446343828112313,0.0,0.0,0.0,0.9923572909210892,0.9897934339
1129,2019-11-11,0.9912192923119805,0.9766967947784971,1.007509815075171,0.9912192923119805,0.9912192923119805,0.0008740771892317128,0.0008740771892317128,0.0008740771892317128,0.0014546478627744904,0.0014546478627744904,0.0014546478627744904,-0.0005805706735427776,-0.0005805706735427776,-0.0005805706735427776,0.0,0.0,0.0,0.9920933695012122,0.9883932008
1130,2019-11-12,0.9912214358303977,0.9763162799279258,1.0077436567813216,0.9912214358303977,0.9912214358303977,0.0015673148056846021,0.0015673148056846021,0.0015673148056846021,0.0021934312220585456,0.0021934312220585456,0.0021934312220585456,-0.0006261164163739434,-0.0006261164163739434,-0.0006261164163739434,0.0,0.0,0.0,0.9927887506360823,0.9897937629
1131,2019-11-14,0.991225722867232,0.9780319230203873,1.0080552260312208,0.991225722867232,0.991225722867232,0.0007153307786631216,0.0007153307786631216,0.0007153307786631216,0.0013795489508982826,0.0013795489508982826,0.0013795489508982826,-0.000664218172235161,-0.000664218172235161,-0.000664218172235161,0.0,0.0,0.0,0.9919410536458951,0.9897737493
1132,2019-11-18,0.9912342969409006,0.9770059348174416,1.0071272196460124,0.9912342969409006,0.9912342969409006,0.0009132724010080526,0.0009132724010080526,0.0009132724010080526,0.0014546478627784484,0.0014546478627784484,0.0014546478627784484,-0.0005413754617703959,-0.0005413754617703959,-0.0005413754617703959,0.0,0.0,0.0,0.9921475693419086,0.9895572755
1133,2019-11-21,0.991240727496152,0.9770883558129343,1.0079190661360473,0.991240727496152,0.991240727496152,0.0010587425619998803,0.0010587425619998803,0.0010587425619998803,0.0013795489508988676,0.0013795489508988676,0.0013795489508988676,-0.0003208063888989872,-0.0003208063888989872,-0.0003208063888989872,0.0,0.0,0.0,0.9922994700581519,1.0065419627
1134,2019-11-22,0.9912428710145691,0.9765025551100596,1.0089005482156466,0.9912428710145691,0.9912428710145691,0.0012540879561887745,0.0012540879561887745,0.0012540879561887745,0.0014890635471651178,0.0014890635471651178,0.0014890635471651178,-0.00023497559097634317,-0.00023497559097634317,-0.00023497559097634317,0.0,0.0,0.0,0.9924969589707578,0.9895
1135,2019-11-26,0.9912514450882378,0.9777136334181565,1.008932830880854,0.9912514450882378,0.9912514450882378,0.002287868140259115,0.002287868140259115,0.002287868140259115,0.0021934312220584346,0.0021934312220584346,0.0021934312220584346,9.443691820068034e-05,9.443691820068034e-05,9.443691820068034e-05,0.0,0.0,0.0,0.993539313228497,0.9993486762
1136,2019-11-27,0.9912484400174805,0.9783936089101557,1.009138277753552,0.9912484400174805,0.9912484400174805,0.0014031920807749138,0.0014031920807749138,0.0014031920807749138,0.0012440829294485393,0.0012440829294485393,0.0012440829294485393,0.00015910915132637458,0.00015910915132637458,0.00015910915132637458,0.0,0.0,0.0,0.9926516320982554,0.987799652
1137,2019-11-28,0.9912454349467232,0.9784304946493665,1.0081372815513596,0.9912454349467232,0.9912454349467232,0.0015910789369068716,0.0015910789369068716,0.0015910789369068716,0.0013795489509008927,0.0013795489509008927,0.0013795489509008927,0.00021152998600597935,0.00021152998600597935,0.00021152998600597935,0.0,0.0,0.0,0.9928365138836301,1.003819671
