,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
1421,2022-02-07,1.005017722529337,0.9895373432316397,1.0124965957617436,1.005017722529337,1.005017722529337,-0.0037765298762519593,-0.0037765298762519593,-0.0037765298762519593,-0.0045194959294242625,-0.0045194959294242625,-0.0045194959294242625,0.0007429660531723031,0.0007429660531723031,0.0007429660531723031,0.0,0.0,0.0,1.001241192653085,1.0012382
1422,2022-02-08,1.0050244328984166,0.9897056088003728,1.0128050851390469,1.0050244328984166,1.0050244328984166,-0.003857096818330329,-0.003857096818330329,-0.003857096818330329,-0.004551749711606319,-0.004551749711606319,-0.004551749711606319,0.00069465289327599,0.00069465289327599,0.00069465289327599,0.0,0.0,0.0,1.0011673360800863,1.0097463
1423,2022-02-10,1.005037853636576,0.9899536905263411,1.0125759889264945,1.005037853636576,1.005037853636576,-0.0037439998131318076,-0.0037439998131318076,-0.0037439998131318076,-0.004291792639833126,-0.004291792639833126,-0.004291792639833126,0.0005477928267013183,0.0005477928267013183,0.0005477928267013183,0.0,0.0,0.0,1.0012938538234442,1.0083126
1424,2022-02-11,1.0050445640056556,0.9894570923383267,1.0127071090400073,1.0050445640056556,1.0050445640056556,-0.003873203578522608,-0.003873203578522608,-0.003873203578522608,-0.004326628845790689,-0.004326628845790689,-0.004326628845790689,0.00045342526726808205,0.00045342526726808205,0.00045342526726808205,0.0,0.0,0.0,1.001171360427133,0.9955968
1425,2022-02-14,1.0050646951128945,0.988339731883437,1.0127090924007442,1.0050646951128945,1.0050646951128945,-0.004401329720923876,-0.004401329720923876,-0.004401329720923876,-0.004519495929435595,-0.004519495929435595,-0.004519495929435595,0.00011816620851171784,0.00011816620851171784,0.00011816620851171784,0.0,0.0,0.0,1.0006633653919708,0.9976172
1426,2022-02-15,1.0050714054819743,0.989623642624342,1.0118390247126996,1.0050714054819743,1.0050714054819743,-0.004552845795820492,-0.004552845795820492,-0.004552845795820492,-0.004551749711617299,-0.004551749711617299,-0.004551749711617299,-1.096084203193077e-06,-1.096084203193077e-06,-1.096084203193077e-06,0.0,0.0,0.0,1.0005185596861539,1.0055564
1427,2022-02-21,1.0051116676964524,0.9892171939332668,1.0106412878964517,1.0051116676964524,1.0051116676964524,-0.005112058372920376,-0.005112058372920376,-0.005112058372920376,-0.004519495929434631,-0.004519495929434631,-0.004519495929434631,-0.0005925624434857453,-0.0005925624434857453,-0.0005925624434857453,0.0,0.0,0.0,0.999999609323532,1.0053135
1428,2022-02-22,1.0051183780655322,0.9888858861476608,1.0105793881437564,1.0051183780655322,1.0051183780655322,-0.005200389453809925,-0.005200389453809925,-0.005200389453809925,-0.0045517497116129785,-0.0045517497116129785,-0.0045517497116129785,-0.0006486397421969457,-0.0006486397421969457,-0.0006486397421969457,0.0,0.0,0.0,0.9999179886117222,1.0053134
1429,2022-02-24,1.0051317988036914,0.988169318246917,1.0110577165172892,1.0051317988036914,1.0051317988036914,-0.005003166023348363,-0.005003166023348363,-0.005003166023348363,-0.004291792639841707,-0.004291792639841707,-0.004291792639841707,-0.0007113733835066555,-0.0007113733835066555,-0.0007113733835066555,0.0,0.0,0.0,1.0001286327803431,1.0013599
1430,2022-02-25,1.0051385091727711,0.988907599364599,1.0113717317296942,1.0051385091727711,1.0051385091727711,-0.005043940139846837,-0.005043940139846837,-0.005043940139846837,-0.004326628845780671,-0.004326628845780671,-0.004326628845780671,-0.0007173112940661667,-0.0007173112940661667,-0.0007173112940661667,0.0,0.0,0.0,1.0000945690329244,1.0013602
