,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소,y
1397,2022-01-12,0.9903126275830675,0.9814540628679812,1.003599343272429,0.9903126275830675,0.9903126275830675,0.0020484530013732336,0.0020484530013732336,0.0020484530013732336,0.0010805646677027063,0.0010805646677027063,0.0010805646677027063,0.0009678883336705272,0.0009678883336705272,0.0009678883336705272,0.0,0.0,0.0,0.9923610805844407,0.9911287
1398,2022-01-14,0.9903125769561704,0.9820895010239021,1.0025471639696548,0.9903125769561704,0.9903125769561704,0.0018588983237554908,0.0018588983237554908,0.0018588983237554908,0.0009114508206413837,0.0009114508206413837,0.0009114508206413837,0.000947447503114107,0.000947447503114107,0.000947447503114107,0.0,0.0,0.0,0.9921714752799259,0.9994663
1399,2022-01-17,0.9903125010158247,0.9815356721964047,1.0022612226624867,0.9903125010158247,0.9903125010158247,0.0015401714685880593,0.0015401714685880593,0.0015401714685880593,0.0006951899640972345,0.0006951899640972345,0.0006951899640972345,0.0008449815044908247,0.0008449815044908247,0.0008449815044908247,0.0,0.0,0.0,0.9918526724844128,0.9888498
1400,2022-01-18,0.9903124757023761,0.9808871691094799,1.0027480828226616,0.9903124757023761,0.9903124757023761,0.0019462049680496253,0.0019462049680496253,0.0019462049680496253,0.0011493480661073736,0.0011493480661073736,0.0011493480661073736,0.0007968569019422519,0.0007968569019422519,0.0007968569019422519,0.0,0.0,0.0,0.9922586806704258,0.9947397
1401,2022-01-20,0.990312425075479,0.9814612721531802,1.0015960244814135,0.990312425075479,0.990312425075479,0.001210108728335094,0.001210108728335094,0.001210108728335094,0.0005216538611345267,0.0005216538611345267,0.0005216538611345267,0.0006884548672005673,0.0006884548672005673,0.0006884548672005673,0.0,0.0,0.0,0.991522533803814,0.9895438
1402,2022-01-21,0.9903123997620304,0.9808727403084735,1.0028633147125332,0.9903123997620304,0.9903123997620304,0.001542704267054721,0.001542704267054721,0.001542704267054721,0.0009114508206395803,0.0009114508206395803,0.0009114508206395803,0.0006312534464151406,0.0006312534464151406,0.0006312534464151406,0.0,0.0,0.0,0.9918551040290852,0.9947297
1403,2022-01-25,0.9903122985082362,0.9812306858102987,1.0022173833748922,0.9903122985082362,0.9903122985082362,0.0015670255821466175,0.0015670255821466175,0.0015670255821466175,0.0011493480661042405,0.0011493480661042405,0.0011493480661042405,0.0004176775160423772,0.0004176775160423772,0.0004176775160423772,0.0,0.0,0.0,0.9918793240903828,0.9881463
1404,2022-01-27,0.9903122478813392,0.980541695732297,1.0012444623755337,0.9903122478813392,0.9903122478813392,0.0008609161350238834,0.0008609161350238834,0.0008609161350238834,0.0005216538611351145,0.0005216538611351145,0.0005216538611351145,0.00033926227388876904,0.00033926227388876904,0.00033926227388876904,0.0,0.0,0.0,0.9911731640163631,0.9883754
1405,2022-01-28,0.9903122225678906,0.9807180072253348,1.0013321012150251,0.9903122225678906,0.9903122225678906,0.0012226902380940983,0.0012226902380940983,0.0012226902380940983,0.0009114508206377771,0.0009114508206377771,0.0009114508206377771,0.0003112394174563211,0.0003112394174563211,0.0003112394174563211,0.0,0.0,0.0,0.9915349128059847,0.9897322
1406,2022-02-03,0.9903120706871994,0.9807841565004564,1.0014396642385777,0.9903120706871994,0.9903120706871994,0.0008645613974176931,0.0008645613974176931,0.0008645613974176931,0.0005216538611357021,0.0005216538611357021,0.0005216538611357021,0.000342907536281991,0.000342907536281991,0.000342907536281991,0.0,0.0,0.0,0.991176632084617,0.9897787
