,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 영화키스톤건축사사무소,y
983,2019-01-10,0.9945370994310956,0.9811871987349219,1.0057379184290614,0.9945370994310956,0.9945370994310956,-0.0007474873166221649,-0.0007474873166221649,-0.0007474873166221649,0.0005343490729086212,0.0005343490729086212,0.0005343490729086212,-0.001281836389530786,-0.001281836389530786,-0.001281836389530786,0.0,0.0,0.0,0.9937896121144734,0.9996996745
984,2019-01-15,0.9944467964549796,0.9807098183971911,1.0071766256082944,0.9944467964549796,0.9944467964549796,-0.0005227348158437837,-0.0005227348158437837,-0.0005227348158437837,0.0012436836250195398,0.0012436836250195398,0.0012436836250195398,-0.0017664184408633233,-0.0017664184408633233,-0.0017664184408633233,0.0,0.0,0.0,0.9939240616391358,0.9893238585
985,2019-01-16,0.9944287358597564,0.98079497631145,1.0058352806284712,0.9944287358597564,0.9944287358597564,-0.001572924862986091,-0.001572924862986091,-0.001572924862986091,0.0003042856744216803,0.0003042856744216803,0.0003042856744216803,-0.0018772105374077713,-0.0018772105374077713,-0.0018772105374077713,0.0,0.0,0.0,0.9928558109967703,0.989324711
986,2019-01-17,0.9944106752645333,0.9793156809605471,1.0054895415996445,0.9944106752645333,0.9944106752645333,-0.0014537959001389572,-0.0014537959001389572,-0.0014537959001389572,0.0005343490729095389,0.0005343490729095389,0.0005343490729095389,-0.0019881449730484962,-0.0019881449730484962,-0.0019881449730484962,0.0,0.0,0.0,0.9929568793643944,1.0032496209
987,2019-01-18,0.9943926146693101,0.9796084609002847,1.0057537545235156,0.9943926146693101,0.9943926146693101,-0.001184757902967451,-0.001184757902967451,-0.001184757902967451,0.0009119701517359862,0.0009119701517359862,0.0009119701517359862,-0.0020967280547034375,-0.0020967280547034375,-0.0020967280547034375,0.0,0.0,0.0,0.9932078567663426,0.9889491295
988,2019-01-24,0.994284251097971,0.9794187533494938,1.0053063456553264,0.994284251097971,0.994284251097971,-0.002014240194232928,-0.002014240194232928,-0.002014240194232928,0.0005343490729102743,0.0005343490729102743,0.0005343490729102743,-0.0025485892671432025,-0.0025485892671432025,-0.0025485892671432025,0.0,0.0,0.0,0.9922700109037381,0.9887990863
989,2019-01-25,0.9942661905027478,0.9791262512517112,1.006326634982086,0.9942661905027478,0.9942661905027478,-0.001655303111255518,-0.001655303111255518,-0.001655303111255518,0.0009119701517336213,0.0009119701517336213,0.0009119701517336213,-0.0025672732629891393,-0.0025672732629891393,-0.0025672732629891393,0.0,0.0,0.0,0.9926108873914923,0.987923468
990,2019-01-28,0.9942120087170783,0.9807279810915296,1.0056464841989388,0.9942120087170783,0.9942120087170783,-0.0015253067943900684,-0.0015253067943900684,-0.0015253067943900684,0.0009655730730213751,0.0009655730730213751,0.0009655730730213751,-0.002490879867411443,-0.002490879867411443,-0.002490879867411443,0.0,0.0,0.0,0.9926867019226882,0.9871990541
991,2019-01-29,0.994193948121855,0.980502975866187,1.0058434097081337,0.994193948121855,0.994193948121855,-0.0011755170101264143,-0.0011755170101264143,-0.0011755170101264143,0.0012436836250171901,0.0012436836250171901,0.0012436836250171901,-0.0024192006351436046,-0.0024192006351436046,-0.0024192006351436046,0.0,0.0,0.0,0.9930184311117286,0.9967499814
992,2019-01-31,0.9941578269314088,0.9795410114735558,1.005878330827862,0.9941578269314088,0.9941578269314088,-0.0016738657815773524,-0.0016738657815773524,-0.0016738657815773524,0.0005343490729089616,0.0005343490729089616,0.0005343490729089616,-0.0022082148544863137,-0.0022082148544863137,-0.0022082148544863137,0.0,0.0,0.0,0.9924839611498314,0.996224569
993,2019-02-07,0.9940314027648464,0.9801790012312688,1.0068661144464406,0.9940314027648464,0.9940314027648464,-0.00042334326121657947,-0.00042334326121657947,-0.00042334326121657947,0.000534349072909697,0.000534349072909697,0.000534349072909697,-0.0009576923341262765,-0.0009576923341262765,-0.0009576923341262765,0.0,0.0,0.0,0.9936080595036297,1.0056738844
994,2019-02-12,0.9939410997887305,0.9831716604490571,1.0075657546799637,0.9939410997887305,0.9939410997887305,0.0012341954280626405,0.0012341954280626405,0.0012341954280626405,0.0012436836250185152,0.0012436836250185152,0.0012436836250185152,-9.488196955874925e-06,-9.488196955874925e-06,-9.488196955874925e-06,0.0,0.0,0.0,0.9951752952167932,0.9972499657
995,2019-02-13,0.9939230391935073,0.9814889881705403,1.00765551088723,0.9939230391935073,0.9939230391935073,0.0004457131149938383,0.0004457131149938383,0.0004457131149938383,0.00030428567442218385,0.00030428567442218385,0.00030428567442218385,0.00014142744057165448,0.00014142744057165448,0.00014142744057165448,0.0,0.0,0.0,0.9943687523085012,0.9965995339
