ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)태원종합기술단건축사사무소
2017-10-17,1.0022133387118481,0.9916395310526479,1.0186153415333372,1.0022133387118481,1.0022133387118481,0.0029225881051097758,0.0029225881051097758,0.0029225881051097758,0.0006646670663173147,0.0006646670663173147,0.0006646670663173147,0.0022579210387924605,0.0022579210387924605,0.0022579210387924605,0.0,0.0,0.0,1.005135926816958
2017-10-18,1.00223319526055,0.9911553558502266,1.0186055036517037,1.00223319526055,1.00223319526055,0.002534851512899235,0.002534851512899235,0.002534851512899235,0.000178010421921903,0.000178010421921903,0.000178010421921903,0.002356841090977332,0.002356841090977332,0.002356841090977332,0.0,0.0,0.0,1.0047680467734494
2017-10-23,1.0023324780040606,0.991239450179525,1.0183870244949358,1.0023324780040606,1.0023324780040606,0.0027418116754959056,0.0027418116754959056,0.0027418116754959056,0.00043665224806257384,0.00043665224806257384,0.00043665224806257384,0.002305159427433332,0.002305159427433332,0.002305159427433332,0.0,0.0,0.0,1.0050742896795564
2017-10-24,1.0023523345527625,0.9911793541838254,1.0185235632814775,1.0023523345527625,1.0023523345527625,0.002844815483857741,0.002844815483857741,0.002844815483857741,0.000664667066318285,0.000664667066318285,0.000664667066318285,0.002180148417539456,0.002180148417539456,0.002180148417539456,0.0,0.0,0.0,1.0051971500366204
2017-10-25,1.0023721911014647,0.9902126895139751,1.0177433912430147,1.0023721911014647,1.0023721911014647,0.0021975974259065435,0.0021975974259065435,0.0021975974259065435,0.00017801042192182084,0.00017801042192182084,0.00017801042192182084,0.0020195870039847225,0.0020195870039847225,0.0020195870039847225,0.0,0.0,0.0,1.0045697885273712
2017-10-27,1.0024119041988688,0.9909927937521549,1.0200228127051965,1.0024119041988688,1.0024119041988688,0.002012559511824617,0.002012559511824617,0.002012559511824617,0.0004079953418445713,0.0004079953418445713,0.0004079953418445713,0.0016045641699800456,0.0016045641699800456,0.0016045641699800456,0.0,0.0,0.0,1.0044244637106934
2017-11-01,1.002511186942379,0.9898504936595814,1.0172054801488626,1.002511186942379,1.002511186942379,0.000416996641443106,0.000416996641443106,0.000416996641443106,0.00017801042192173888,0.00017801042192173888,0.00017801042192173888,0.0002389862195213671,0.0002389862195213671,0.0002389862195213671,0.0,0.0,0.0,1.0029281835838222
2017-11-02,1.0025310434910812,0.9899040627210193,1.0161394318287367,1.0025310434910812,1.0025310434910812,0.0003911402119194255,0.0003911402119194255,0.0003911402119194255,0.0004362114318298686,0.0004362114318298686,0.0004362114318298686,-4.507121991044315e-05,-4.507121991044315e-05,-4.507121991044315e-05,0.0,0.0,0.0,1.0029221837030007
2017-11-03,1.0025509000397832,0.9890066621601661,1.0163771904011436,1.0025509000397832,1.0025509000397832,8.913329135196682e-05,8.913329135196682e-05,8.913329135196682e-05,0.0004079953418456367,0.0004079953418456367,0.0004079953418456367,-0.00031886205049366984,-0.00031886205049366984,-0.00031886205049366984,0.0,0.0,0.0,1.0026400333311352
2017-11-09,1.0026700393319956,0.9878263222675845,1.0158445874226132,1.0026700393319956,1.0026700393319956,-0.001031534979932188,-0.001031534979932188,-0.001031534979932188,0.0004362114318291435,0.0004362114318291435,0.0004362114318291435,-0.0014677464117613314,-0.0014677464117613314,-0.0014677464117613314,0.0,0.0,0.0,1.0016385043520635
