ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(자)건축사사무소 태백
2012-12-11,1.0024854942225208,0.9816616480406587,1.0197145738927453,1.0024854942225208,1.0024854942225208,-0.0017191045250923669,-0.0017191045250923669,-0.0017191045250923669,-4.512672379428062e-05,-4.512672379428062e-05,-4.512672379428062e-05,-0.001673977801298086,-0.001673977801298086,-0.001673977801298086,0.0,0.0,0.0,1.0007663896974284
2012-12-13,1.0024294681770014,0.9822871861307874,1.0210781012980945,1.0024294681770014,1.0024294681770014,-0.00220284993321845,-0.00220284993321845,-0.00220284993321845,-0.0002427132769076974,-0.0002427132769076974,-0.0002427132769076974,-0.001960136656310753,-0.001960136656310753,-0.001960136656310753,0.0,0.0,0.0,1.000226618243783
2012-12-20,1.0022333770176837,0.9795340215099638,1.020179744933905,1.0022333770176837,1.0022333770176837,-0.0027352444184824904,-0.0027352444184824904,-0.0027352444184824904,-0.00024271327691055322,-0.00024271327691055322,-0.00024271327691055322,-0.002492531141571937,-0.002492531141571937,-0.002492531141571937,0.0,0.0,0.0,0.9994981325992012
2012-12-28,1.0020092728356065,0.9791259819919068,1.017784419806085,1.0020092728356065,1.0020092728356065,-0.0034462536761174912,-0.0034462536761174912,-0.0034462536761174912,-0.0013771189775291736,-0.0013771189775291736,-0.0013771189775291736,-0.0020691346985883177,-0.0020691346985883177,-0.0020691346985883177,0.0,0.0,0.0,0.998563019159489
2013-01-04,1.001813181676289,0.9795933798744457,1.0189026173932212,1.001813181676289,1.001813181676289,-0.0026417028027637076,-0.0026417028027637076,-0.0026417028027637076,-0.0013771189775188557,-0.0013771189775188557,-0.0013771189775188557,-0.0012645838252448517,-0.0012645838252448517,-0.0012645838252448517,0.0,0.0,0.0,0.9991714788735253
2013-01-07,1.00172914260801,0.9781771995660516,1.0191591745044788,1.00172914260801,1.00172914260801,-0.0036883552919709894,-0.0036883552919709894,-0.0036883552919709894,-0.0027149228125047243,-0.0027149228125047243,-0.0027149228125047243,-0.0009734324794662651,-0.0009734324794662651,-0.0009734324794662651,0.0,0.0,0.0,0.998040787316039
2013-01-10,1.001645103539731,0.9813925144685458,1.020192232374516,1.001645103539731,1.001645103539731,-0.001012895188146786,-0.001012895188146786,-0.001012895188146786,-0.00024271327691446554,-0.00024271327691446554,-0.00024271327691446554,-0.0007701819112323203,-0.0007701819112323203,-0.0007701819112323203,0.0,0.0,0.0,1.0006322083515842
2013-01-17,1.0014490123804132,0.9804940142528158,1.0200374336302842,1.0014490123804132,1.0014490123804132,-0.0009014103755533555,-0.0009014103755533555,-0.0009014103755533555,-0.00024271327691220213,-0.00024271327691220213,-0.00024271327691220213,-0.0006586970986411536,-0.0006586970986411536,-0.0006586970986411536,0.0,0.0,0.0,1.0005476020048598
2013-01-18,1.0014209993576535,0.9806752938531828,1.0195259140977349,1.0014209993576535,1.0014209993576535,-0.0020500179606404646,-0.0020500179606404646,-0.0020500179606404646,-0.0013771189775240173,-0.0013771189775240173,-0.0013771189775240173,-0.0006728989831164477,-0.0006728989831164477,-0.0006728989831164477,0.0,0.0,0.0,0.9993709813970131
2013-01-25,1.001224908198336,0.980158725999831,1.0193140246513022,1.001224908198336,1.001224908198336,-0.002157116638855091,-0.002157116638855091,-0.002157116638855091,-0.0013771189775205713,-0.0013771189775205713,-0.0013771189775205713,-0.0007799976613345195,-0.0007799976613345195,-0.0007799976613345195,0.0,0.0,0.0,0.9990677915594809
2013-01-28,1.001140869130057,0.9774851499654927,1.0170584031381598,1.001140869130057,1.001140869130057,-0.0034671757769512137,-0.0034671757769512137,-0.0034671757769512137,-0.002714922812499834,-0.002714922812499834,-0.002714922812499834,-0.0007522529644513797,-0.0007522529644513797,-0.0007522529644513797,0.0,0.0,0.0,0.9976736933531057
2013-01-29,1.0011128561072973,0.9818827931054628,1.0208422213462747,1.0011128561072973,1.0011128561072973,-0.0007712217519190282,-0.0007712217519190282,-0.0007712217519190282,-4.5126723790637486e-05,-4.5126723790637486e-05,-4.5126723790637486e-05,-0.0007260950281283907,-0.0007260950281283907,-0.0007260950281283907,0.0,0.0,0.0,1.0003416343553782
2013-01-30,1.0010848430845376,0.9803662288741118,1.0204528693854322,1.0010848430845376,1.0010848430845376,-0.0007391905802391018,-0.0007391905802391018,-0.0007391905802391018,-4.8231802841062774e-05,-4.8231802841062774e-05,-4.8231802841062774e-05,-0.000690958777398039,-0.000690958777398039,-0.000690958777398039,0.0,0.0,0.0,1.0003456525042984
2013-02-05,1.0009167649479798,0.9810696733238818,1.0215740104032662,1.0009167649479798,1.0009167649479798,-0.0003576628139594349,-0.0003576628139594349,-0.0003576628139594349,-4.512672378834633e-05,-4.512672378834633e-05,-4.512672378834633e-05,-0.00031253609017108856,-0.00031253609017108856,-0.00031253609017108856,0.0,0.0,0.0,1.0005591021340203
2013-02-07,1.0008607389024602,0.980208872466392,1.020530852055808,1.0008607389024602,1.0008607389024602,-0.0003875305338564338,-0.0003875305338564338,-0.0003875305338564338,-0.00024271327691145953,-0.00024271327691145953,-0.00024271327691145953,-0.00014481725694497424,-0.00014481725694497424,-0.00014481725694497424,0.0,0.0,0.0,1.0004732083686037
2013-02-13,1.0006926607659024,0.9793263537828286,1.0203877521170905,1.0006926607659024,1.0006926607659024,0.0002735861428430771,0.0002735861428430771,0.0002735861428430771,-4.823180284014159e-05,-4.823180284014159e-05,-4.823180284014159e-05,0.00032181794568321865,0.00032181794568321865,0.00032181794568321865,0.0,0.0,0.0,1.0009662469087455
2013-02-14,1.0006646477431427,0.9814899167247914,1.0193787114888684,1.0006646477431427,1.0006646477431427,0.00013548636418686346,0.00013548636418686346,0.00013548636418686346,-0.00024271327690454124,-0.00024271327690454124,-0.00024271327690454124,0.0003781996410914047,0.0003781996410914047,0.0003781996410914047,0.0,0.0,0.0,1.0008001341073296
2013-02-15,1.000636634720383,0.978618341510554,1.0180206520713784,1.000636634720383,1.000636634720383,-0.0009520900976013487,-0.0009520900976013487,-0.0009520900976013487,-0.001377118977515415,-0.001377118977515415,-0.001377118977515415,0.00042502887991406624,0.00042502887991406624,0.00042502887991406624,0.0,0.0,0.0,0.9996845446227817
2013-02-18,1.000552595652104,0.9796593988024705,1.0184418473148082,1.000552595652104,1.000552595652104,-0.0022146897462723045,-0.0022146897462723045,-0.0022146897462723045,-0.0027149228125068806,-0.0027149228125068806,-0.0027149228125068806,0.0005002330662345763,0.0005002330662345763,0.0005002330662345763,0.0,0.0,0.0,0.9983379059058317
2013-02-20,1.0004965696065846,0.9809192947762523,1.0209689853080062,1.0004965696065846,1.0004965696065846,0.0004439128275871028,0.0004439128275871028,0.0004439128275871028,-4.8231802839474696e-05,-4.8231802839474696e-05,-4.8231802839474696e-05,0.0004921446304265775,0.0004921446304265775,0.0004921446304265775,0.0,0.0,0.0,1.0009404824341717
2013-02-21,1.000468556583825,0.9802766122721749,1.0203897539771485,1.000468556583825,1.000468556583825,0.00022810106416700838,0.00022810106416700838,0.00022810106416700838,-0.00024271327690227772,-0.00024271327690227772,-0.00024271327690227772,0.0004708143410692861,0.0004708143410692861,0.0004708143410692861,0.0,0.0,0.0,1.0006966576479919
2013-02-26,1.0003284914700268,0.981234953667408,1.0200609707400334,1.0003284914700268,1.0003284914700268,0.00017572246853028817,0.00017572246853028817,0.00017572246853028817,-4.512672378723033e-05,-4.512672378723033e-05,-4.512672378723033e-05,0.0002208491923175185,0.0002208491923175185,0.0002208491923175185,0.0,0.0,0.0,1.0005042139385572
2013-03-04,1.0001604133334687,0.9769156149077045,1.015991137449451,1.0001604133334687,1.0001604133334687,-0.002926860664513504,-0.002926860664513504,-0.002926860664513504,-0.002714922812507579,-0.002714922812507579,-0.002714922812507579,-0.00021193785200592478,-0.00021193785200592478,-0.00021193785200592478,0.0,0.0,0.0,0.9972335526689552
