ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소
2012-10-30,1.0023915471827252,0.9891607398444876,1.0095526712349485,1.0023915471827252,1.0023915471827252,-0.003101781154720322,-0.003101781154720322,-0.003101781154720322,-0.0016540248995305937,-0.0016540248995305937,-0.0016540248995305937,-0.0014477562551897284,-0.0014477562551897284,-0.0014477562551897284,0.0,0.0,0.0,0.9992897660280048
2012-10-31,1.0023807311716644,0.9893332328698616,1.008758327098326,1.0023807311716644,1.0023807311716644,-0.003221325292303519,-0.003221325292303519,-0.003221325292303519,-0.0017269117103098507,-0.0017269117103098507,-0.0017269117103098507,-0.001494413581993669,-0.001494413581993669,-0.001494413581993669,0.0,0.0,0.0,0.9991594058793608
2012-11-09,1.002283387072118,0.9892413771466304,1.0095476133079277,1.002283387072118,1.002283387072118,-0.0028459137446953855,-0.0028459137446953855,-0.0028459137446953855,-0.001784521085619463,-0.001784521085619463,-0.001784521085619463,-0.0010613926590759225,-0.0010613926590759225,-0.0010613926590759225,0.0,0.0,0.0,0.9994374733274226
2012-11-14,1.0022293070168142,0.9894196270025476,1.0100727290827267,1.0022293070168142,1.0022293070168142,-0.0020055160063876818,-0.0020055160063876818,-0.0020055160063876818,-0.0017269117103098806,-0.0017269117103098806,-0.0017269117103098806,-0.00027860429607780106,-0.00027860429607780106,-0.00027860429607780106,0.0,0.0,0.0,1.0002237910104266
2012-11-23,1.0021319629172678,0.9915981402373613,1.010702642675368,1.0021319629172678,1.0021319629172678,-0.0009996924916040137,-0.0009996924916040137,-0.0009996924916040137,-0.0017845210856109628,-0.0017845210856109628,-0.0017845210856109628,0.0007848285940069489,0.0007848285940069489,0.0007848285940069489,0.0,0.0,0.0,1.0011322704256638
2012-11-28,1.002077882861964,0.9915286896960365,1.0112252184539234,1.002077882861964,1.002077882861964,-0.0010169535130849059,-0.0010169535130849059,-0.0010169535130849059,-0.0017269117103098463,-0.0017269117103098463,-0.0017269117103098463,0.0007099581972249405,0.0007099581972249405,0.0007099581972249405,0.0,0.0,0.0,1.0010609293488792
2012-12-05,1.002002170784539,0.991105673325482,1.0107893141046853,1.002002170784539,1.002002170784539,-0.0016426493406926045,-0.0016426493406926045,-0.0016426493406926045,-0.0017269117103099214,-0.0017269117103099214,-0.0017269117103099214,8.426236961731696e-05,8.426236961731696e-05,8.426236961731696e-05,0.0,0.0,0.0,1.0003595214438463
2012-12-06,1.0019913547734784,0.9896500121196129,1.010510245135782,1.0019913547734784,1.0019913547734784,-0.0016522444483039332,-0.0016522444483039332,-0.0016522444483039332,-0.0016514157764240484,-0.0016514157764240484,-0.0016514157764240484,-8.286718798845867e-07,-8.286718798845867e-07,-8.286718798845867e-07,0.0,0.0,0.0,1.0003391103251744
2012-12-07,1.0019805387624177,0.9896364651732579,1.0099912804159994,1.0019805387624177,1.0019805387624177,-0.0018594487230244316,-0.0018594487230244316,-0.0018594487230244316,-0.0017845210856158853,-0.0017845210856158853,-0.0017845210856158853,-7.492763740854632e-05,-7.492763740854632e-05,-7.492763740854632e-05,0.0,0.0,0.0,1.0001210900393933
2012-12-11,1.0019372747181747,0.9901788628295796,1.0101544269497336,1.0019372747181747,1.0019372747181747,-0.0018675747334134542,-0.0018675747334134542,-0.0018675747334134542,-0.0016540248995375747,-0.0016540248995375747,-0.0016540248995375747,-0.00021354983387587953,-0.00021354983387587953,-0.00021354983387587953,0.0,0.0,0.0,1.0000696999847614
2012-12-20,1.001839930618628,0.9908494827821692,1.0106723176138466,1.001839930618628,1.001839930618628,-0.0011447533169877152,-0.0011447533169877152,-0.0011447533169877152,-0.001651415776427589,-0.001651415776427589,-0.001651415776427589,0.0005066624594398738,0.0005066624594398738,0.0005066624594398738,0.0,0.0,0.0,1.0006951773016404
2012-12-28,1.0017534025301424,0.9920084720517984,1.0112986312274241,1.0017534025301424,1.0017534025301424,-0.00044607913385004026,-0.00044607913385004026,-0.00044607913385004026,-0.0017845210856253734,-0.0017845210856253734,-0.0017845210856253734,0.0013384419517753331,0.0013384419517753331,0.0013384419517753331,0.0,0.0,0.0,1.0013073233962924
2013-01-03,1.001688506463778,0.991306032884376,1.0114559812803245,1.001688506463778,1.001688506463778,-0.0004233150345404837,-0.0004233150345404837,-0.0004233150345404837,-0.0016514157764253128,-0.0016514157764253128,-0.0016514157764253128,0.0012281007418848292,0.0012281007418848292,0.0012281007418848292,0.0,0.0,0.0,1.0012651914292374
2013-01-04,1.0016776904527174,0.9917043329079497,1.0119833748349472,1.0016776904527174,1.0016776904527174,-0.000645964637705783,-0.000645964637705783,-0.000645964637705783,-0.0017845210856165155,-0.0017845210856165155,-0.0017845210856165155,0.0011385564479107324,0.0011385564479107324,0.0011385564479107324,0.0,0.0,0.0,1.0010317258150117
2013-01-07,1.0016452424195352,0.9909162449048153,1.010939444820087,1.0016452424195352,1.0016452424195352,-0.0009655233575758573,-0.0009655233575758573,-0.0009655233575758573,-0.0017490092806112818,-0.0017490092806112818,-0.0017490092806112818,0.0007834859230354245,0.0007834859230354245,0.0007834859230354245,0.0,0.0,0.0,1.0006797190619594
2013-01-08,1.0016344264084744,0.9897844649643431,1.0100281047692514,1.0016344264084744,1.0016344264084744,-0.0010081916463541374,-0.0010081916463541374,-0.0010081916463541374,-0.001654024899533701,-0.001654024899533701,-0.001654024899533701,0.0006458332531795637,0.0006458332531795637,0.0006458332531795637,0.0,0.0,0.0,1.0006262347621202
2013-01-10,1.0016127943863529,0.9903101699236037,1.0102347646823362,1.0016127943863529,1.0016127943863529,-0.001290723940061663,-0.001290723940061663,-0.001290723940061663,-0.001651415776429607,-0.001651415776429607,-0.001651415776429607,0.00036069183636794425,0.00036069183636794425,0.00036069183636794425,0.0,0.0,0.0,1.0003220704462912
2013-01-15,1.0015587143310494,0.9894799084029469,1.0099775919745297,1.0015587143310494,1.0015587143310494,-0.0019194966752191101,-0.0019194966752191101,-0.0019194966752191101,-0.001654024899531917,-0.001654024899531917,-0.001654024899531917,-0.00026547177568719295,-0.00026547177568719295,-0.00026547177568719295,0.0,0.0,0.0,0.9996392176558303
2013-01-17,1.0015370823089278,0.9895808825195482,1.0089994245131209,1.0015370823089278,1.0015370823089278,-0.0020815485095389756,-0.0020815485095389756,-0.0020815485095389756,-0.0016514157764288533,-0.0016514157764288533,-0.0016514157764288533,-0.00043013273311012237,-0.00043013273311012237,-0.00043013273311012237,0.0,0.0,0.0,0.9994555337993888
2013-01-18,1.0015262662978672,0.9895570578759054,1.009716301899695,1.0015262662978672,1.0015262662978672,-0.002272953307478563,-0.002272953307478563,-0.002272953307478563,-0.0017845210856214384,-0.0017845210856214384,-0.0017845210856214384,-0.0004884322218571244,-0.0004884322218571244,-0.0004884322218571244,0.0,0.0,0.0,0.9992533129903887
2013-01-25,1.0014505542204422,0.9898031424922835,1.0086147396480452,1.0014505542204422,1.0014505542204422,-0.0022759965509947105,-0.0022759965509947105,-0.0022759965509947105,-0.0017845210856171879,-0.0017845210856171879,-0.0017845210856171879,-0.0004914754653775224,-0.0004914754653775224,-0.0004914754653775224,0.0,0.0,0.0,0.9991745576694474
2013-01-28,1.00141810618726,0.9890881453512156,1.0084411569532876,1.00141810618726,1.00141810618726,-0.0021247779756945013,-0.0021247779756945013,-0.0021247779756945013,-0.0017490092806017462,-0.0017490092806017462,-0.0017490092806017462,-0.00037576869509275496,-0.00037576869509275496,-0.00037576869509275496,0.0,0.0,0.0,0.9992933282115655
2013-01-29,1.0014072901761992,0.9897471379649587,1.0086848896906342,1.0014072901761992,1.0014072901761992,-0.001994128087691677,-0.001994128087691677,-0.001994128087691677,-0.0016540248995342436,-0.0016540248995342436,-0.0016540248995342436,-0.00034010318815743285,-0.00034010318815743285,-0.00034010318815743285,0.0,0.0,0.0,0.9994131620885075
2013-01-30,1.0013964741651384,0.9895022079984427,1.0094852931067666,1.0013964741651384,1.0013964741651384,-0.0020370924604980484,-0.0020370924604980484,-0.0020370924604980484,-0.0017269117103098485,-0.0017269117103098485,-0.0017269117103098485,-0.00031018075018819977,-0.00031018075018819977,-0.00031018075018819977,0.0,0.0,0.0,0.9993593817046403
2013-02-07,1.0013099460766526,0.9891842056095845,1.00947456339639,1.0013099460766526,1.0013099460766526,-0.002117589348887088,-0.002117589348887088,-0.002117589348887088,-0.0016514157764275787,-0.0016514157764275787,-0.0016514157764275787,-0.0004661735724595094,-0.0004661735724595094,-0.0004661735724595094,0.0,0.0,0.0,0.9991923567277655
2013-02-13,1.0012450500102883,0.9891343098878788,1.00856903519587,1.0012450500102883,1.0012450500102883,-0.002715389295633213,-0.002715389295633213,-0.002715389295633213,-0.001726911710309875,-0.001726911710309875,-0.001726911710309875,-0.000988477585323338,-0.000988477585323338,-0.000988477585323338,0.0,0.0,0.0,0.9985296607146551
2013-02-14,1.0012342339992275,0.9891851591675779,1.0088193472599285,1.0012342339992275,1.0012342339992275,-0.0027260198647521086,-0.0027260198647521086,-0.0027260198647521086,-0.0016514157764235327,-0.0016514157764235327,-0.0016514157764235327,-0.001074604088328576,-0.001074604088328576,-0.001074604088328576,0.0,0.0,0.0,0.9985082141344754
2013-02-15,1.001223417988167,0.9886415603316392,1.0079709244629382,1.001223417988167,1.001223417988167,-0.002936976633437419,-0.002936976633437419,-0.002936976633437419,-0.0017845210856132529,-0.0017845210856132529,-0.0017845210856132529,-0.0011524555478241664,-0.0011524555478241664,-0.0011524555478241664,0.0,0.0,0.0,0.9982864413547295
2013-02-18,1.0011909915502053,0.9882309914738655,1.0075644467762908,1.0011909915502053,1.0011909915502053,-0.003057011575554493,-0.003057011575554493,-0.003057011575554493,-0.0017490092806145769,-0.0017490092806145769,-0.0017490092806145769,-0.0013080022949399164,-0.0013080022949399164,-0.0013080022949399164,0.0,0.0,0.0,0.9981339799746508
2013-02-20,1.0011693739248975,0.9884565840048859,1.0080123526203628,1.0011693739248975,1.0011693739248975,-0.0030504729289824958,-0.0030504729289824958,-0.0030504729289824958,-0.0017269117103098897,-0.0017269117103098897,-0.0017269117103098897,-0.001323561218672606,-0.001323561218672606,-0.001323561218672606,0.0,0.0,0.0,0.9981189009959149
2013-02-21,1.0011585651122437,0.9882576733464229,1.0083294033995174,1.0011585651122437,1.0011585651122437,-0.0029515865465509325,-0.0029515865465509325,-0.0029515865465509325,-0.0016514157764227788,-0.0016514157764227788,-0.0016514157764227788,-0.001300170770128154,-0.001300170770128154,-0.001300170770128154,0.0,0.0,0.0,0.9982069785656927
2013-02-26,1.0011045210489742,0.9882245887722064,1.0084782682873135,1.0011045210489742,1.0011045210489742,-0.0025218927579762113,-0.0025218927579762113,-0.0025218927579762113,-0.0016540248995303701,-0.0016540248995303701,-0.0016540248995303701,-0.0008678678584458412,-0.0008678678584458412,-0.0008678678584458412,0.0,0.0,0.0,0.998582628290998
2013-03-04,1.001039668173051,0.9895544743898839,1.0095167108602376,1.001039668173051,1.001039668173051,-0.0016450775549317774,-0.0016450775549317774,-0.0016450775549317774,-0.0017490092806142885,-0.0017490092806142885,-0.0017490092806142885,0.00010393172568251091,0.00010393172568251091,0.00010393172568251091,0.0,0.0,0.0,0.9993945906181191
