ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토펙엔지니어링건축사사무소
2022-11-15,0.9996448598173019,0.9860448240787643,1.011904457126135,0.998751956285724,1.000636800064114,-0.0001353926342991214,-0.0001353926342991214,-0.0001353926342991214,1.9469919049196686e-06,1.9469919049196686e-06,1.9469919049196686e-06,-0.00013733962620404114,-0.00013733962620404114,-0.00013733962620404114,0.0,0.0,0.0,0.9995094671830028
2022-11-16,0.9996431917007114,0.9847789570872049,1.0116105870596213,0.9987392146356894,1.000643913466889,-0.0013704270201237894,-0.0013704270201237894,-0.0013704270201237894,-0.0011617163862290818,-0.0011617163862290818,-0.0011617163862290818,-0.00020871063389470745,-0.00020871063389470745,-0.00020871063389470745,0.0,0.0,0.0,0.9982727646805876
2022-11-17,0.9996415235841207,0.9850911452917991,1.0124490651957871,0.9987264729856546,1.0006513675680686,-0.0013036790961593193,-0.0013036790961593193,-0.0013036790961593193,-0.0010300023094319303,-0.0010300023094319303,-0.0010300023094319303,-0.0002736767867273888,-0.0002736767867273888,-0.0002736767867273888,0.0,0.0,0.0,0.9983378444879614
2022-11-18,0.9996398554675303,0.9849725128394544,1.0121332459954056,0.99871373133562,1.0006601329678437,-0.0009302837196599395,-0.0009302837196599395,-0.0009302837196599395,-0.0005997740841677848,-0.0005997740841677848,-0.0005997740841677848,-0.0003305096354921547,-0.0003305096354921547,-0.0003305096354921547,0.0,0.0,0.0,0.9987095717478703
2022-11-19,0.9996381873509398,0.9879076472766913,1.0137121920379153,0.9987009896855853,1.000668898367619,0.001976770633912983,0.001976770633912983,0.001976770633912983,0.00235447422901396,0.00235447422901396,0.00235447422901396,-0.00037770359510097757,-0.00037770359510097757,-0.00037770359510097757,0.0,0.0,0.0,1.0016149579848528
2022-11-20,0.9996365192343492,0.9887716547659263,1.014673507498405,0.9986882480355507,1.0006776637673944,0.001940455575382476,0.001940455575382476,0.001940455575382476,0.002354471456654465,0.002354471456654465,0.002354471456654465,-0.00041401588127198887,-0.00041401588127198887,-0.00041401588127198887,0.0,0.0,0.0,1.0015769748097316
2022-11-21,0.9996348511177586,0.9842700729703346,1.010254053144966,0.9986755063855159,1.0006864291671698,-0.002357898686085741,-0.002357898686085741,-0.002357898686085741,-0.001919399897747496,-0.001919399897747496,-0.001919399897747496,-0.0004384987883382447,-0.0004384987883382447,-0.0004384987883382447,0.0,0.0,0.0,0.9972769524316729
2022-11-22,0.9996331830011682,0.9850381828470289,1.012958919841208,0.998661307519972,1.0006951945669451,-0.00044857642915625725,-0.00044857642915625725,-0.00044857642915625725,1.946991905827032e-06,1.946991905827032e-06,1.946991905827032e-06,-0.0004505234210620843,-0.0004505234210620843,-0.0004505234210620843,0.0,0.0,0.0,0.9991846065720119
2022-11-23,0.9996315148845776,0.9838996748617995,1.011742837436538,0.9986434375686333,1.0007039599667205,-0.0016115106358950593,-0.0016115106358950593,-0.0016115106358950593,-0.001161716386226104,-0.001161716386226104,-0.001161716386226104,-0.00044979424966895554,-0.00044979424966895554,-0.00044979424966895554,0.0,0.0,0.0,0.9980200042486825
2022-11-24,0.999629846767987,0.9850658340024018,1.0124258683766985,0.9986255676172945,1.0007127253664956,-0.0014663564407828024,-0.0014663564407828024,-0.0014663564407828024,-0.001030002309428376,-0.001030002309428376,-0.001030002309428376,-0.00043635413135442665,-0.00043635413135442665,-0.00043635413135442665,0.0,0.0,0.0,0.9981634903272042
2022-11-25,0.9996281786513964,0.9859797302939164,1.0112173288629234,0.9986076976659557,1.000721490766271,-0.001010353809189985,-0.001010353809189985,-0.001010353809189985,-0.0005997740841706226,-0.0005997740841706226,-0.0005997740841706226,-0.0004105797250193627,-0.0004105797250193627,-0.0004105797250193627,0.0,0.0,0.0,0.9986178248422064
2022-11-26,0.999626510534806,0.9879721485875342,1.0145538991552376,0.998589827714617,1.0007302561660463,0.0019813067186184976,0.0019813067186184976,0.0019813067186184976,0.0023544742290137447,0.0023544742290137447,0.0023544742290137447,-0.00037316751039524683,-0.00037316751039524683,-0.00037316751039524683,0.0,0.0,0.0,1.0016078172534244
2022-11-27,0.9996248424182155,0.988504091160607,1.0150062719614101,0.9985759807230602,1.0007390215658214,0.0020293605571384717,0.0020293605571384717,0.0020293605571384717,0.0023544714566483627,0.0023544714566483627,0.0023544714566483627,-0.0003251108995098911,-0.0003251108995098911,-0.0003251108995098911,0.0,0.0,0.0,1.001654202975354
2022-11-28,0.9996231743016248,0.9846174098396422,1.0119812052179709,0.9985650027678048,1.0007477869655967,-0.0021870690870374587,-0.0021870690870374587,-0.0021870690870374587,-0.0019193998977400201,-0.0019193998977400201,-0.0019193998977400201,-0.0002676691892974382,-0.0002676691892974382,-0.0002676691892974382,0.0,0.0,0.0,0.9974361052145874
2022-11-29,0.9996215061850343,0.986537129329967,1.011734575109899,0.9985540248125496,1.0007565523653719,-0.00020038234939650696,-0.00020038234939650696,-0.00020038234939650696,1.9469919067342846e-06,1.9469919067342846e-06,1.9469919067342846e-06,-0.00020232934130324118,-0.00020232934130324118,-0.00020232934130324118,0.0,0.0,0.0,0.9994211238356379
2022-11-30,0.9996198380684439,0.9848045304348068,1.0120236699424252,0.9985430468572942,1.0007653177651474,-0.001292478167003218,-0.001292478167003218,-0.001292478167003218,-0.0011617163862289847,-0.0011617163862289847,-0.0011617163862289847,-0.0001307617807742334,-0.0001307617807742334,-0.0001307617807742334,0.0,0.0,0.0,0.9983273599014407
2022-12-01,0.9996181699518533,0.9844907579544848,1.0124822631642423,0.9985320689020388,1.000775954176939,-0.0010847738863244503,-0.0010847738863244503,-0.0010847738863244503,-0.0010300023094355123,-0.0010300023094355123,-0.0010300023094355123,-5.4771576888938015e-05,-5.4771576888938015e-05,-5.4771576888938015e-05,0.0,0.0,0.0,0.9985333960655288
2022-12-02,0.9996165018352627,0.9858247321337824,1.0119039794325224,0.9985210909467837,1.0008003805904497,-0.0005760205775661631,-0.0005760205775661631,-0.0005760205775661631,-0.0005997740841669042,-0.0005997740841669042,-0.0005997740841669042,2.3753506600741077e-05,2.3753506600741077e-05,2.3753506600741077e-05,0.0,0.0,0.0,0.9990404812576966
2022-12-03,0.9996148337186722,0.9881629096627302,1.0147521048825263,0.9985101129915284,1.0008248070039605,0.0024573707481200012,0.0024573707481200012,0.0024573707481200012,0.002354474229013529,0.002354474229013529,0.002354474229013529,0.00010289651910647189,0.00010289651910647189,0.00010289651910647189,0.0,0.0,0.0,1.0020722044667922
2022-12-04,0.9996131656020817,0.9875113831751009,1.014939079960689,0.9984934412986606,1.0008492334174715,0.0025352362408180996,0.0025352362408180996,0.0025352362408180996,0.0023544714566592737,0.0023544714566592737,0.0023544714566592737,0.00018076478415882596,0.00018076478415882596,0.00018076478415882596,0.0,0.0,0.0,1.0021484018428999
2022-12-05,0.9996114974854912,0.9854091436520164,1.0111675586115296,0.9984667136293848,1.0008515756449508,-0.0016638581744551414,-0.0016638581744551414,-0.0016638581744551414,-0.0019193998977445528,-0.0019193998977445528,-0.0019193998977445528,0.0002555417232894117,0.0002555417232894117,0.0002555417232894117,0.0,0.0,0.0,0.997947639311036
2022-12-06,0.9996098293689005,0.9871344495299728,1.0134161879345813,0.9984399859601087,1.000871787201597,0.00032748250753823326,0.00032748250753823326,0.00032748250753823326,1.946991907838565e-06,1.946991907838565e-06,1.946991907838565e-06,0.0003255355156303948,0.0003255355156303948,0.0003255355156303948,0.0,0.0,0.0,0.9999373118764388
2022-12-07,0.99960816125231,0.9862622375965407,1.0107475121000267,0.9984135248853311,1.0008821884224368,-0.000772493210924799,-0.000772493210924799,-0.000772493210924799,-0.0011617163862257143,-0.0011617163862257143,-0.0011617163862257143,0.00038922317530091545,0.00038922317530091545,0.00038922317530091545,0.0,0.0,0.0,0.9988356680413852
2022-12-08,0.9996064931357196,0.9864931776038509,1.0121613806569145,0.9983971069308231,1.0008925896432765,-0.0005847135288612848,-0.0005847135288612848,-0.0005847135288612848,-0.0010300023094319576,-0.0010300023094319576,-0.0010300023094319576,0.0004452887805706728,0.0004452887805706728,0.0004452887805706728,0.0,0.0,0.0,0.9990217796068583
