ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소
2016-01-06,0.9918215465948864,0.9833158023852873,1.004517881904102,0.9918215465948864,0.9918215465948864,0.001764152001034355,0.001764152001034355,0.001764152001034355,0.001080564667704088,0.001080564667704088,0.001080564667704088,0.0006835873333302671,0.0006835873333302671,0.0006835873333302671,0.0,0.0,0.0,0.9935856985959207
2016-01-08,0.9918121970266959,0.9827915307240166,1.004200369534079,0.9918121970266959,0.9918121970266959,0.0017430492705229014,0.0017430492705229014,0.0017430492705229014,0.0009114508206367283,0.0009114508206367283,0.0009114508206367283,0.000831598449886173,0.000831598449886173,0.000831598449886173,0.0,0.0,0.0,0.9935552462972188
2016-01-11,0.99179817267441,0.9829304801727452,1.0040797566203834,0.99179817267441,0.99179817267441,0.0016473260821426013,0.0016473260821426013,0.0016473260821426013,0.0006951899640956126,0.0006951899640956126,0.0006951899640956126,0.0009521361180469888,0.0009521361180469888,0.0009521361180469888,0.0,0.0,0.0,0.9934454987565525
2016-01-14,0.9917841483221241,0.981561559068343,1.0040343161630787,0.9917841483221241,0.9917841483221241,0.0014783099720175683,0.0014783099720175683,0.0014783099720175683,0.0005216538611335252,0.0005216538611335252,0.0005216538611335252,0.0009566561108840434,0.0009566561108840434,0.0009566561108840434,0.0,0.0,0.0,0.9932624582941417
2016-01-18,0.9917654491857429,0.9827591484487981,1.0045792033991072,0.9917654491857429,0.9917654491857429,0.001516773656447073,0.001516773656447073,0.001516773656447073,0.0006951899640981798,0.0006951899640981798,0.0006951899640981798,0.000821583692348893,0.000821583692348893,0.000821583692348893,0.0,0.0,0.0,0.99328222284219
2016-01-19,0.9917607744016476,0.983069337469274,1.0045970512748879,0.9917607744016476,0.9917607744016476,0.0019203372792755522,0.0019203372792755522,0.0019203372792755522,0.0011493480661064527,0.0011493480661064527,0.0011493480661064527,0.0007709892131690995,0.0007709892131690995,0.0007709892131690995,0.0,0.0,0.0,0.9936811116809231
2016-01-20,0.9917560996175523,0.9831475906823783,1.0037807991305625,0.9917560996175523,0.9917560996175523,0.0017971600238697347,0.0017971600238697347,0.0017971600238697347,0.0010805646677047465,0.0010805646677047465,0.0010805646677047465,0.0007165953561649881,0.0007165953561649881,0.0007165953561649881,0.0,0.0,0.0,0.993553259641422
2016-01-22,0.9917467500493617,0.9833250821457313,1.0046149561611326,0.9917467500493617,0.9917467500493617,0.0015140277533339443,0.0015140277533339443,0.0015140277533339443,0.0009114508206368704,0.0009114508206368704,0.0009114508206368704,0.0006025769326970739,0.0006025769326970739,0.0006025769326970739,0.0,0.0,0.0,0.9932607778026957
2016-01-26,0.9917280509129806,0.9824434411334984,1.0039515316147822,0.9917280509129806,0.9917280509129806,0.0015449474744682022,0.0015449474744682022,0.0015449474744682022,0.0011493480661077633,0.0011493480661077633,0.0011493480661077633,0.00039559940836043895,0.00039559940836043895,0.00039559940836043895,0.0,0.0,0.0,0.9932729983874488
2016-01-27,0.9917233761288853,0.9831439901140124,1.0040983233941623,0.9917233761288853,0.9917233761288853,0.0014368210142593069,0.0014368210142593069,0.0014368210142593069,0.0010805646677037187,0.0010805646677037187,0.0010805646677037187,0.0003562563465555882,0.0003562563465555882,0.0003562563465555882,0.0,0.0,0.0,0.9931601971431446
