ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소
2013-01-03,0.9972283133037403,0.9829574787846431,1.0055745988889186,0.9972283133037403,0.9972283133037403,-0.003211862451345548,-0.003211862451345548,-0.003211862451345548,-0.004291792639836011,-0.004291792639836011,-0.004291792639836011,0.0010799301884904635,0.0010799301884904635,0.0010799301884904635,0.0,0.0,0.0,0.9940164508523948
2013-01-04,0.9972221165064367,0.9827315081258469,1.006068903615258,0.9972221165064367,0.9972221165064367,-0.0034189604795921962,-0.0034189604795921962,-0.0034189604795921962,-0.00432662884578062,-0.00432662884578062,-0.00432662884578062,0.0009076683661884239,0.0009076683661884239,0.0009076683661884239,0.0,0.0,0.0,0.9938031560268444
2013-01-07,0.9972035261145255,0.9816457600525804,1.0041436462587394,0.9972035261145255,0.9972035261145255,-0.00416132452323451,-0.00416132452323451,-0.00416132452323451,-0.004519495929445882,-0.004519495929445882,-0.004519495929445882,0.0003581714062113729,0.0003581714062113729,0.0003581714062113729,0.0,0.0,0.0,0.993042201591291
2013-01-08,0.9971973293172217,0.9819107485747696,1.0041301040512922,0.9971973293172217,0.9971973293172217,-0.004374512085889419,-0.004374512085889419,-0.004374512085889419,-0.004551749711614309,-0.004551749711614309,-0.004551749711614309,0.00017723762572488983,0.00017723762572488983,0.00017723762572488983,0.0,0.0,0.0,0.9928228172313323
2013-01-10,0.9971849357226142,0.9815195745734966,1.0048846705894048,0.9971849357226142,0.9971849357226142,-0.004449967179533582,-0.004449967179533582,-0.004449967179533582,-0.004291792639847223,-0.004291792639847223,-0.004291792639847223,-0.00015817453968635961,-0.00015817453968635961,-0.00015817453968635961,0.0,0.0,0.0,0.9927349685430806
2013-01-15,0.9971539517360957,0.9815245903744478,1.0030962030933657,0.9971539517360957,0.9971539517360957,-0.005249283418199728,-0.005249283418199728,-0.005249283418199728,-0.004551749711609987,-0.004551749711609987,-0.004551749711609987,-0.0006975337065897411,-0.0006975337065897411,-0.0006975337065897411,0.0,0.0,0.0,0.9919046683178959
2013-01-17,0.9971415581414883,0.9806027706753528,1.0027205144507287,0.9971415581414883,0.9971415581414883,-0.005044527495669844,-0.005044527495669844,-0.005044527495669844,-0.004291792639844592,-0.004291792639844592,-0.004291792639844592,-0.000752734855825251,-0.000752734855825251,-0.000752734855825251,0.0,0.0,0.0,0.9920970306458184
2013-01-18,0.9971353613441847,0.9810120130278136,1.0032344161112148,0.9971353613441847,0.9971353613441847,-0.0050704119964081204,-0.0050704119964081204,-0.0050704119964081204,-0.00432662884579369,-0.00432662884579369,-0.00432662884579369,-0.0007437831506144302,-0.0007437831506144302,-0.0007437831506144302,0.0,0.0,0.0,0.9920649493477766
2013-01-25,0.9970919837630586,0.981860888010029,1.0034981131969092,0.9970919837630586,0.9970919837630586,-0.004474012081375774,-0.004474012081375774,-0.004474012081375774,-0.004326628845782485,-0.004326628845782485,-0.004326628845782485,-0.0001473832355932888,-0.0001473832355932888,-0.0001473832355932888,0.0,0.0,0.0,0.9926179716816829
2013-01-28,0.9970733933711474,0.9810213803671749,1.0035444821558255,0.9970733933711474,0.9970733933711474,-0.004284943570867573,-0.004284943570867573,-0.004284943570867573,-0.004519495929420589,-0.004519495929420589,-0.004519495929420589,0.00023455235855301658,0.00023455235855301658,0.00023455235855301658,0.0,0.0,0.0,0.9927884498002798
2013-01-29,0.9970671965738437,0.9814310192585822,1.0043701019174134,0.9970671965738437,0.9970671965738437,-0.004198346587378622,-0.004198346587378622,-0.004198346587378622,-0.004551749711615773,-0.004551749711615773,-0.004551749711615773,0.00035340312423715086,0.00035340312423715086,0.00035340312423715086,0.0,0.0,0.0,0.9928688499864651
2013-01-30,0.9970609997765401,0.9813738755646684,1.0034823134931514,0.9970609997765401,0.9970609997765401,-0.004535123366044594,-0.004535123366044594,-0.004535123366044594,-0.004997650329912067,-0.004997650329912067,-0.004997650329912067,0.0004625269638674725,0.0004625269638674725,0.0004625269638674725,0.0,0.0,0.0,0.9925258764104955
2013-02-05,0.9970238189927177,0.9815142189098405,1.0045138608052362,0.9970238189927177,0.9970238189927177,-0.003770172307443401,-0.003770172307443401,-0.003770172307443401,-0.004551749711611451,-0.004551749711611451,-0.004551749711611451,0.0007815774041680501,0.0007815774041680501,0.0007815774041680501,0.0,0.0,0.0,0.9932536466852744
2013-02-07,0.9970114253981103,0.9820904619198306,1.004518552811495,0.9970114253981103,0.9970114253981103,-0.0035591878359598167,-0.0035591878359598167,-0.0035591878359598167,-0.0042917926398425114,-0.0042917926398425114,-0.0042917926398425114,0.0007326048038826942,0.0007326048038826942,0.0007326048038826942,0.0,0.0,0.0,0.9934522375621505
2013-02-13,0.9969742446142881,0.9811816652078912,1.0035728530582786,0.9969742446142881,0.9969742446142881,-0.004791001739736315,-0.004791001739736315,-0.004791001739736315,-0.004997650329911755,-0.004997650329911755,-0.004997650329911755,0.00020664859017543977,0.00020664859017543977,0.00020664859017543977,0.0,0.0,0.0,0.9921832428745517
2013-02-14,0.9969680478169843,0.9808796165975251,1.0032100339543164,0.9969680478169843,0.9969680478169843,-0.004203400277709931,-0.004203400277709931,-0.004203400277709931,-0.004291792639832405,-0.004291792639832405,-0.004291792639832405,8.839236212247352e-05,8.839236212247352e-05,8.839236212247352e-05,0.0,0.0,0.0,0.9927646475392744
2013-02-15,0.9969676206107885,0.9821749254098333,1.003149484463784,0.9969676206107885,0.9969676206107885,-0.00435745099962523,-0.00435745099962523,-0.00435745099962523,-0.004326628845771958,-0.004326628845771958,-0.004326628845771958,-3.0822153853273096e-05,-3.0822153853273096e-05,-3.0822153853273096e-05,0.0,0.0,0.0,0.9926101696111632
2013-02-18,0.9969663389922007,0.9807309907115516,1.0025551837950717,0.9969663389922007,0.9969663389922007,-0.004883972653502755,-0.004883972653502755,-0.004883972653502755,-0.004519495929454584,-0.004519495929454584,-0.004519495929454584,-0.0003644767240481714,-0.0003644767240481714,-0.0003644767240481714,0.0,0.0,0.0,0.992082366338698
2013-02-20,0.9969654845798088,0.9802870631562219,1.0026557092389157,0.9969654845798088,0.9969654845798088,-0.005538083825033953,-0.005538083825033953,-0.005538083825033953,-0.00499765032991198,-0.00499765032991198,-0.00499765032991198,-0.0005404334951219725,-0.0005404334951219725,-0.0005404334951219725,0.0,0.0,0.0,0.9914274007547749
2013-02-21,0.9969650573736129,0.9801402988850701,1.0037174988188315,0.9969650573736129,0.9969650573736129,-0.004899850979119465,-0.004899850979119465,-0.004899850979119465,-0.004291792639829774,-0.004291792639829774,-0.004291792639829774,-0.0006080583392896908,-0.0006080583392896908,-0.0006080583392896908,0.0,0.0,0.0,0.9920652063944934
