ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한림이앤씨건축사사무소
2018-07-26,1.0019206595303318,0.9857971678215536,1.0137325550629446,1.0019206595303318,1.0019206595303318,-0.0020772088637760863,-0.0020772088637760863,-0.0020772088637760863,-0.0032836336078226266,-0.0032836336078226266,-0.0032836336078226266,0.0012064247440465403,0.0012064247440465403,0.0012064247440465403,0.0,0.0,0.0,0.9998434506665558
2018-07-27,1.0019194622176029,0.9857276763904032,1.0140179538714857,1.0019194622176029,1.0019194622176029,-0.0022544147762322553,-0.0022544147762322553,-0.0022544147762322553,-0.003445054837789204,-0.003445054837789204,-0.003445054837789204,0.0011906400615569487,0.0011906400615569487,0.0011906400615569487,0.0,0.0,0.0,0.9996650474413706
2018-08-02,1.001912278341229,0.9860424583520965,1.0130470959790214,1.001912278341229,1.001912278341229,-0.002438164661750581,-0.002438164661750581,-0.002438164661750581,-0.0032836336078263216,-0.0032836336078263216,-0.0032836336078263216,0.0008454689460757408,0.0008454689460757408,0.0008454689460757408,0.0,0.0,0.0,0.9994741136794785
2018-08-03,1.0019110810285003,0.9867126960202303,1.0116048100750932,1.0019110810285003,1.0019110810285003,-0.002694665251293572,-0.002694665251293572,-0.002694665251293572,-0.003445054837791014,-0.003445054837791014,-0.003445054837791014,0.0007503895864974419,0.0007503895864974419,0.0007503895864974419,0.0,0.0,0.0,0.9992164157772068
2018-08-06,1.0019074890903135,0.9834890283797582,1.0131757991845927,1.0019074890903135,1.0019074890903135,-0.003416283818127947,-0.003416283818127947,-0.003416283818127947,-0.0038398309697228075,-0.0038398309697228075,-0.0038398309697228075,0.00042354715159486115,0.00042354715159486115,0.00042354715159486115,0.0,0.0,0.0,0.9984912052721855
2018-08-07,1.0019062917775845,0.9856252815862828,1.0130015196959783,1.0019062917775845,1.0019062917775845,-0.002964135408461327,-0.002964135408461327,-0.002964135408461327,-0.0032703801978229514,-0.0032703801978229514,-0.0032703801978229514,0.00030624478936162425,0.00030624478936162425,0.00030624478936162425,0.0,0.0,0.0,0.9989421563691232
2018-08-09,1.0019038971521266,0.9847032046658128,1.0123245589286514,1.0019038971521266,1.0019038971521266,-0.0032136522507926714,-0.0032136522507926714,-0.0032136522507926714,-0.0032836336078300166,-0.0032836336078300166,-0.0032836336078300166,6.998135703734514e-05,6.998135703734514e-05,6.998135703734514e-05,0.0,0.0,0.0,0.998690244901334
2018-08-16,1.0018955362746862,0.9844001589217053,1.0118797221834326,1.0018955362746862,1.0018955362746862,-0.003877840137524877,-0.003877840137524877,-0.003877840137524877,-0.003283633607827273,-0.003283633607827273,-0.003283633607827273,-0.0005942065296976037,-0.0005942065296976037,-0.0005942065296976037,0.0,0.0,0.0,0.9980176961371613
2018-08-17,1.0018943418636233,0.9841379697469548,1.0119552253179227,1.0018943418636233,1.0018943418636233,-0.004095682638347288,-0.004095682638347288,-0.004095682638347288,-0.0034450548377910383,-0.0034450548377910383,-0.0034450548377910383,-0.0006506278005562494,-0.0006506278005562494,-0.0006506278005562494,0.0,0.0,0.0,0.997798659225276
2018-08-20,1.0018907586304346,0.9835558851688756,1.0116381993768537,1.0018907586304346,1.0018907586304346,-0.0045880275675984575,-0.0045880275675984575,-0.0045880275675984575,-0.0038398309697303917,-0.0038398309697303917,-0.0038398309697303917,-0.0007481965978680659,-0.0007481965978680659,-0.0007481965978680659,0.0,0.0,0.0,0.9973027310628362
2018-08-21,1.0018895642193717,0.983592396326549,1.0118797982549603,1.0018895642193717,1.0018895642193717,-0.004027586934926625,-0.004027586934926625,-0.004027586934926625,-0.00327038019781586,-0.00327038019781586,-0.00327038019781586,-0.0007572067371107652,-0.0007572067371107652,-0.0007572067371107652,0.0,0.0,0.0,0.997861977284445
2018-08-23,1.001887175397246,0.9833531511754492,1.0114659534759187,1.001887175397246,1.001887175397246,-0.004026786740127782,-0.004026786740127782,-0.004026786740127782,-0.003283633607831268,-0.003283633607831268,-0.003283633607831268,-0.0007431531322965141,-0.0007431531322965141,-0.0007431531322965141,0.0,0.0,0.0,0.9978603886571182
2018-08-28,1.0018812033419313,0.9854965410838709,1.0116995791952477,1.0018812033419313,1.0018812033419313,-0.003839658408720859,-0.003839658408720859,-0.003839658408720859,-0.003270380197824041,-0.003270380197824041,-0.003270380197824041,-0.0005692782108968179,-0.0005692782108968179,-0.0005692782108968179,0.0,0.0,0.0,0.9980415449332104
2018-08-29,1.0018800089308684,0.9832436286124576,1.0111875790200346,1.0018800089308684,1.0018800089308684,-0.004421966214489259,-0.004421966214489259,-0.004421966214489259,-0.0039010285693573507,-0.0039010285693573507,-0.0039010285693573507,-0.000520937645131908,-0.000520937645131908,-0.000520937645131908,0.0,0.0,0.0,0.9974580427163791
2018-08-30,1.0018788145198054,0.9836961192028919,1.0131222070932113,1.0018788145198054,1.0018788145198054,-0.003754870055421329,-0.003754870055421329,-0.003754870055421329,-0.0032836336078285243,-0.0032836336078285243,-0.0032836336078285243,-0.000471236447592805,-0.000471236447592805,-0.000471236447592805,0.0,0.0,0.0,0.9981239444643841
2018-09-04,1.001872842464491,0.9847643825630793,1.0125893451059162,1.001872842464491,1.001872842464491,-0.003513377316642701,-0.003513377316642701,-0.003513377316642701,-0.003270380197825757,-0.003270380197825757,-0.003270380197825757,-0.00024299711881694435,-0.00024299711881694435,-0.00024299711881694435,0.0,0.0,0.0,0.9983594651478482
