ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소
2019-02-28,0.992836218029117,0.9880871990756692,0.9982303708499081,0.992836218029117,0.992836218029117,0.0003725908910912027,0.0003725908910912027,0.0003725908910912027,0.000737705680450477,0.000737705680450477,0.000737705680450477,-0.0003651147893592743,-0.0003651147893592743,-0.0003651147893592743,0.0,0.0,0.0,0.9932088089202082
2019-03-04,0.9928588821315159,0.9880524803131776,0.9977784634015431,0.9928588821315159,0.9928588821315159,8.236873973901203e-06,8.236873973901203e-06,8.236873973901203e-06,0.00042788453555998304,0.00042788453555998304,0.00042788453555998304,-0.0004196476615860818,-0.0004196476615860818,-0.0004196476615860818,0.0,0.0,0.0,0.9928671190054897
2019-03-05,0.9928645481571156,0.9881000119105615,0.9979767176695956,0.9928645481571156,0.9928645481571156,0.00033331549647834074,0.00033331549647834074,0.00033331549647834074,0.0007626119491229975,0.0007626119491229975,0.0007626119491229975,-0.0004292964526446568,-0.0004292964526446568,-0.0004292964526446568,0.0,0.0,0.0,0.9931978636535939
2019-03-06,0.9928702141827153,0.9882695815832133,0.9983626607402842,0.9928702141827153,0.9928702141827153,0.0006397876759141304,0.0006397876759141304,0.0006397876759141304,0.0010757756792062903,0.0010757756792062903,0.0010757756792062903,-0.00043598800329215984,-0.00043598800329215984,-0.00043598800329215984,0.0,0.0,0.0,0.9935100018586294
2019-03-07,0.992875880208315,0.9882005287525563,0.9979580262201733,0.992875880208315,0.992875880208315,0.00029860529065384113,0.00029860529065384113,0.00029860529065384113,0.0007377056804502923,0.0007377056804502923,0.0007377056804502923,-0.0004391003897964512,-0.0004391003897964512,-0.0004391003897964512,0.0,0.0,0.0,0.9931744854989688
2019-03-12,0.9929042103363134,0.9884990307449247,0.998353092133594,0.9929042103363134,0.9929042103363134,0.00037734707117806533,0.00037734707117806533,0.00037734707117806533,0.000762611949124187,0.000762611949124187,0.000762611949124187,-0.00038526487794612163,-0.00038526487794612163,-0.00038526487794612163,0.0,0.0,0.0,0.9932815574074915
2019-03-13,0.9929098763619131,0.9889152582435563,0.9985363049303941,0.9929098763619131,0.9929098763619131,0.0007166425894458411,0.0007166425894458411,0.0007166425894458411,0.0010757756792064309,0.0010757756792064309,0.0010757756792064309,-0.00035913308976058967,-0.00035913308976058967,-0.00035913308976058967,0.0,0.0,0.0,0.9936265189513589
2019-03-19,0.9929438725155114,0.9883673980035471,0.9983135224950765,0.9929438725155114,0.9929438725155114,0.0006463874764029878,0.0006463874764029878,0.0006463874764029878,0.0007626119491218016,0.0007626119491218016,0.0007626119491218016,-0.00011622447271881378,-0.00011622447271881378,-0.00011622447271881378,0.0,0.0,0.0,0.9935902599919144
2019-03-20,0.992949538541111,0.9891682183679882,0.9990465562502231,0.992949538541111,0.992949538541111,0.0010077595793518699,0.0010077595793518699,0.0010077595793518699,0.0010757756792059315,0.0010757756792059315,0.0010757756792059315,-6.801609985406169e-05,-6.801609985406169e-05,-6.801609985406169e-05,0.0,0.0,0.0,0.9939572981204629
2019-03-22,0.9929608705923104,0.9885881039630189,0.9988370122682546,0.9929608705923104,0.9929608705923104,0.0008340005122233169,0.0008340005122233169,0.0008340005122233169,0.0008076577172407426,0.0008076577172407426,0.0008076577172407426,2.634279498257422e-05,2.634279498257422e-05,2.634279498257422e-05,0.0,0.0,0.0,0.9937948711045337
