ActCode,NoticeDate,발주청,시도,G2B공고번호,공고일연,공고일월,공고일일,공고일요일(개선),BidOpenDateTime,입찰일연,입찰일월,입찰일일,입찰일요일,연면적,대지면적,예가율,예정가격,세대수,기초금액,최신_1순위,낙찰하한율,참여업체수,중간값
HousingAct,2022-06-22,경기도 화성시,경기도 ,20220632349,2022,6,22,수,2022. 7. 1,2022,7,1,금,"37,876","24,028",0.999843,,166,"1,213,634,822.00",0.9999999,0.8495,69,0.999921
HousingAct,2022-06-20,충청남도 예산군,충청남도 ,20220625755,2022,6,20,월,2022. 6. 30,2022,6,30,목,"135,884","40,154",0.991983,,601,"2,175,023,128.00",0.9922351,0.8045,80,0.992109
HousingAct,2022-06-15,서울특별시 동작구,서울특별시 ,20220620512,2022,6,15,수,2022. 6. 27,2022,6,27,월,"90,540","13,843",1.012875,,608,"3,024,525,177.00",1.0143593,0.8045,94,1.013617
HousingAct,2022-06-15,강원도 강릉시,강원도 ,20220617861,2022,6,15,수,2022. 6. 27,2022,6,27,월,"44,380","12,116",0.995340,,176,"1,271,540,252.00",0.995766,0.8495,64,0.995553
HousingAct,2022-06-15,인천광역시 계양구,인천광역시 ,20220615544,2022,6,15,수,2022. 6. 24,2022,6,24,금,"194,392","48,025",0.999508,,1370,"4,800,329,030.00",0.99998,0.7295,66,0.999744
HousingAct,2022-06-14,인천광역시 서구,인천광역시 ,20220616152,2022,6,14,화,2022. 6. 24,2022,6,24,금,"152,551","46,063",0.992995,,875,"3,206,592,466.00",0.9930982,0.8045,83,0.993047
HousingAct,2022-06-15,강원도 속초시,강원도 ,20220621965,2022,6,15,수,2022. 6. 24,2022,6,24,금,"98,565","8,387",1.010325,,546,"2,320,825,960.00",1.013767,0.8045,85,1.012046
HousingAct,2022-06-16,제주특별자치도 제주시,제주특별자치도 ,20220621492,2022,6,16,목,2022. 6. 23,2022,6,23,목,"29,790","9,998",0.998885,,136,"1,185,552,430.00",0.9989279,0.8495,51,0.998907
HousingAct,2022-06-14,전라북도 군산시,전라북도 ,20220616795,2022,6,14,화,2022. 6. 23,2022,6,23,목,"34,358","9,998",1.007193,,219,"666,240,808.00",1.0078863,0.8495,12,1.007539
HousingAct,2022-06-14,경기도 수원시,경기도 ,20220616161,2022,6,14,화,2022. 6. 23,2022,6,23,목,"87,190","30,621",1.000355,,482,"2,696,873,770.00",1.0004489,0.8295,92,1.000402
HousingAct,2022-06-13,경기도 부천시,경기도 ,20220613751,2022,6,13,월,2022. 6. 23,2022,6,23,목,"24,121","6,166",0.993098,,189,"712,976,920.00",0.9941984,0.8495,27,0.993648
HousingAct,2022-06-10,경기도 부천시,경기도 ,20220612582,2022,6,10,금,2022. 6. 23,2022,6,23,목,"9,438","2,842",0.997720,,100,"308,445,055.00",0.9982552,0.8495,4,0.997988
HousingAct,2022-06-13,서울특별시 용산구,서울특별시 ,20220613832,2022,6,13,월,2022. 6. 23,2022,6,23,목,"157,352","36,675",0.997423,,750,"4,322,646,678.00",0.9975601,0.8045,93,0.997491
HousingAct,2022-06-13,울산광역시 남구,울산광역시 ,20220614912,2022,6,13,월,2022. 6. 22,2022,6,22,수,"49,709","8,683",1.012385,,302,"1,653,972,548.00",1.012675,0.8295,73,1.012530
HousingAct,2022-06-13,경기도 화성시,경기도 ,20220615876,2022,6,13,월,2022. 6. 22,2022,6,22,수,"130,870","61,822",1.000978,,640,"2,728,964,791.00",1.0014702,0.8045,93,1.001224
HousingAct,2022-06-13,경기도 화성시,경기도 ,20220615891,2022,6,13,월,2022. 6. 22,2022,6,22,수,"128,952","61,783",1.007135,,616,"2,688,740,289.00",1.0073661,0.8045,93,1.007251
HousingAct,2022-06-13,경기도 화성시,경기도 ,20220615372,2022,6,13,월,2022. 6. 22,2022,6,22,수,"111,547","53,773",0.987228,,660,"2,182,038,254.00",0.98949,0.8045,91,0.988359
HousingAct,2022-06-09,경기도 수원시,경기도 ,20220609479,2022,6,9,목,2022. 6. 20,2022,6,20,월,"24,096","8,378",1.000695,,128,"834,929,900.00",1.0011999,0.8495,40,1.000948
HousingAct,2022-06-08,강원도 원주시,강원도 ,20220606049,2022,6,8,수,2022. 6. 17,2022,6,17,금,"41,115","12,838",0.991898,,353,"1,063,492,082.00",0.992758,0.8295,34,0.992328
HousingAct,2022-06-08,대구광역시,대구광역시,20220607710,2022,6,8,수,2022. 6. 17,2022,6,17,금,"54,474","16,358",1.001230,,316,"1,518,746,877.00",1.0013,0.8295,74,1.001265
HousingAct,2022-06-03,경기도 의정부시,경기도 ,20220604047,2022,6,3,금,2022. 6. 16,2022,6,16,목,"16,591","4,374",0.995958,,121,"613,356,881.00",0.9968,0.8495,20,0.996379
HousingAct,2022-06-03,경상북도 포항시,경상북도 ,20220603029,2022,6,3,금,2022. 6. 15,2022,6,15,수,"116,664","33,242",0.996493,,678,"3,092,570,000.00",0.9966324,0.8045,89,0.996562
HousingAct,2022-06-03,전라북도 군산시,전라북도 ,20220602454,2022,6,3,금,2022. 6. 14,2022,6,14,화,"152,261","40,430",1.000695,,873,"3,301,528,597.00",1.0007143,0.8045,79,1.000705
HousingAct,2022-05-31,충청남도 천안시,충청남도 ,20220545193,2022,5,31,화,2022. 6. 14,2022,6,14,화,"94,899","27,635",0.986895,,592,"2,145,633,280.00",0.9882978,0.8045,84,0.987596
HousingAct,2022-05-31,서울특별시 관악구,서울특별시 ,20220544823,2022,5,31,화,2022. 6. 14,2022,6,14,화,"79,158","22,463",1.003518,,571,"2,299,006,468.00",1.00354,0.8045,85,1.003529
HousingAct,2022-06-02,경기도 양주시,경기도 ,20220602236,2022,6,2,목,2022. 6. 13,2022,6,13,월,"162,641","44,508",0.998783,,1172,"3,680,562,610.00",0.9991339,0.7295,62,0.998958
HousingAct,2022-06-02,경기도 오산시,경기도 ,20220601055,2022,6,2,목,2022. 6. 13,2022,6,13,월,"59,967","22,254",0.999168,,380,"1,457,677,955.00",0.99958,0.8295,73,0.999374
HousingAct,2022-06-02,경기도 오산시,경기도 ,20220601226,2022,6,2,목,2022. 6. 13,2022,6,13,월,"42,443","15,491",1.006463,,264,"1,071,568,782.00",1.0066828,0.8495,63,1.006573
HousingAct,2022-05-31,경상남도 양산시,경상남도 ,20220543563,2022,5,31,화,2022. 6. 10,2022,6,10,금,"52,808","14,283",0.983618,,300,"1,560,425,833.00",0.9873984,0.8295,70,0.985508
HousingAct,2022-05-30,서울특별시 강북구,서울특별시 ,20220541813,2022,5,30,월,2022. 6. 10,2022,6,10,금,"20,613","1,895",0.996780,,426,"774,217,997.00",0.9992301,0.8295,2,0.998005
HousingAct,2022-05-31,충청남도 아산시,충청남도 ,20220544044,2022,5,31,화,2022. 6. 10,2022,6,10,금,"89,126","26,421",1.002543,,498,"1,495,534,420.00",1.0027562,0.8295,71,1.002649
HousingAct,2022-05-30,전라북도 익산시,전라북도 ,20220542832,2022,5,30,월,2022. 6. 9,2022,6,9,목,"45,873","13,737",0.996373,,298,"1,402,950,917.00",0.9966699,0.8495,79,0.996521
HousingAct,2022-05-26,경기도 성남시,경기도 ,20220537823,2022,5,26,목,2022. 6. 9,2022,6,9,목,"15,911","3,930",1.004673,,145,"613,740,541.00",1.0061701,0.8495,17,1.005421
HousingAct,2022-05-30,경상남도 김해시,경상남도 ,20220541651,2022,5,30,월,2022. 6. 9,2022,6,9,목,"178,656","52,137",0.994808,,922,"4,709,290,874.00",0.994829,0.8045,81,0.994818
HousingAct,2022-05-25,충청북도 진천군,충청북도 ,20220536623,2022,5,25,수,2022. 6. 8,2022,6,8,수,"65,256","20,996",1.004580,,679,"1,197,087,731.00",1.004794,0.8045,24,1.004687
HousingAct,2022-05-31,서울특별시 영등포구,서울특별시 ,20220544850,2022,5,31,화,2022. 6. 8,2022,6,8,수,"44,852","3,767",0.999838,,597,"1,428,418,000.00",1.0000998,0.8045,55,0.999969
HousingAct,2022-05-25,충청남도 천안시,충청남도 ,20220536870,2022,5,25,수,2022. 6. 7,2022,6,7,화,"212,865","59,850",0.993813,,1284,"5,001,317,000.00",0.9940732,0.7295,59,0.993943
HousingAct,2022-05-25,충청남도 천안시,충청남도 ,20220536499,2022,5,25,수,2022. 6. 7,2022,6,7,화,"197,292","54,918",1.012930,,1199,"4,486,422,340.00",1.0132658,0.7295,60,1.013098
HousingAct,2022-05-25,강원도 원주시,강원도 ,20220535668,2022,5,25,수,2022. 6. 7,2022,6,7,화,"181,678","54,579",1.002608,,975,"4,380,726,091.00",1.0031481,0.8045,82,1.002878
HousingAct,2022-05-25,충청남도 천안시,충청남도 ,20220536845,2022,5,25,수,2022. 6. 7,2022,6,7,화,"80,910","41,186",1.004335,,453,"1,997,680,480.00",1.0043716,0.8295,87,1.004353
HousingAct,2022-05-24,경기도 용인시,경기도 ,20220535213,2022,5,24,화,2022. 6. 7,2022,6,7,화,"14,574","4,049",1.007498,,94,"505,154,745.00",1.0089741,0.8495,19,1.008236
HousingAct,2022-05-23,인천광역시 서구,인천광역시 ,20220531989,2022,5,23,월,2022. 6. 3,2022,6,3,금,"10,170","3,033",0.984175,,91,"408,271,617.00",0.9959702,0.8495,3,0.990073
HousingAct,2022-05-20,울산광역시 남구,울산광역시 ,20220529651,2022,5,20,금,2022. 6. 3,2022,6,3,금,"117,929","9,535",1.010353,,481,"2,801,400,322.00",1.011314,0.8295,95,1.010833
HousingAct,2022-05-19,충청남도 천안시,충청남도 ,20220526699,2022,5,19,목,2022. 5. 31,2022,5,31,화,"18,425","6,339",0.989738,,149,"555,039,980.00",0.9914986,0.8495,14,0.990618
HousingAct,2022-05-18,충청남도 홍성군,충청남도 ,20220524976,2022,5,18,수,2022. 5. 30,2022,5,30,월,"282,816","89,233",1.002668,,1474,"6,216,118,529.00",1.00333,0.7295,58,1.002999
HousingAct,2022-05-17,대구광역시 남구,대구광역시 ,20220522365,2022,5,17,화,2022. 5. 27,2022,5,27,금,"253,821","64,539",0.978355,,1758,"6,805,308,353.00",0.9841909,0.7295,56,0.981273
HousingAct,2022-05-18,울산광역시,울산광역시,20220526224,2022,5,18,수,2022. 5. 27,2022,5,27,금,"100,515","27,197",1.002328,,607,"2,464,025,874.00",1.0023521,0.8045,85,1.002340
HousingAct,2022-05-16,경기도 부천시,경기도 ,20220521207,2022,5,16,월,2022. 5. 26,2022,5,26,목,"24,121","6,166",1.001505,,189,"712,976,920.00",1.0017633,0.8495,29,1.001634
HousingAct,2022-05-16,충청북도 청주시,충청북도 ,20220520779,2022,5,16,월,2022. 5. 25,2022,5,25,수,"135,275","22,881",0.993863,,602,"3,329,153,484.00",0.9939032,0.8045,89,0.993883
HousingAct,2022-05-13,전라남도 영암군,전라남도 ,20220517897,2022,5,13,금,2022. 5. 25,2022,5,25,수,"40,195","12,262",1.010190,,265,"1,097,131,213.00",1.0109516,0.8495,54,1.010571
HousingAct,2022-05-10,경기도 성남시,경기도 ,20220510102,2022,5,10,화,2022. 5. 23,2022,5,23,월,"11,073","2,670",0.996148,,117,"443,404,099.00",0.9972603,0.8495,5,0.996704
HousingAct,2022-05-12,경기도 화성시,경기도 ,20220515829,2022,5,12,목,2022. 5. 23,2022,5,23,월,"25,180","11,034",0.991150,,224,"866,637,497.00",0.9929143,0.8495,45,0.992032
HousingAct,2022-05-10,인천광역시 연수구,인천광역시 ,20220512055,2022,5,10,화,2022. 5. 20,2022,5,20,금,"28,005","8,548",1.011120,,218,"834,485,068.00",1.0117915,0.8495,37,1.011456
HousingAct,2022-04-29,대구광역시 남구,대구광역시 ,20220448477,2022,4,29,금,2022. 5. 20,2022,5,20,금,"301,374","72,536",0.992303,,2023,"6,521,939,968.00",0.9935169,0.7295,41,0.992910
HousingAct,2022-05-11,경기도 화성시,경기도 ,20220514727,2022,5,11,수,2022. 5. 20,2022,5,20,금,"140,284","47,403",0.998558,,862,"3,167,058,821.00",0.9991131,0.8045,84,0.998835
HousingAct,2022-05-10,대전광역시,대전광역시,20220512768,2022,5,10,화,2022. 5. 19,2022,5,19,목,"343,931","98,945",1.008435,,1754,"4,593,511,190.00",1.0086798,0.7295,50,1.008557
HousingAct,2022-05-10,부산광역시 연제구,부산광역시 ,20220510454,2022,5,10,화,2022. 5. 19,2022,5,19,목,"71,702","7,556",0.999178,,368,"2,028,344,295.00",0.9995931,0.8295,81,0.999385
HousingAct,2022-05-09,경상북도 포항시,경상북도 ,20220509578,2022,5,9,월,2022. 5. 19,2022,5,19,목,"256,344","64,660",1.009568,,1455,"6,386,708,000.00",1.01106,0.7295,64,1.010314
