,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한국종합건축사사무소,y
187,2022-04-11,0.9914252411546793,0.9846333192057714,1.0000175088370238,0.9914252411546793,0.9914252411546793,0.0005429459665759116,0.0005429459665759116,0.0005429459665759116,0.0005429459665759116,0.0005429459665759116,0.0005429459665759116,0.0,0.0,0.0,0.9919681871212552,0.9908689
188,2022-04-13,0.9914556886084153,0.9846015481629115,0.999722077029279,0.9914556886084153,0.9914556886084153,0.000908420552780409,0.000908420552780409,0.000908420552780409,0.000908420552780409,0.000908420552780409,0.000908420552780409,0.0,0.0,0.0,0.9923641091611957,0.9906388
189,2022-04-14,0.9914709123352834,0.9830082071737585,0.998507286692022,0.9914709123352834,0.9914709123352834,-0.0006546532977934989,-0.0006546532977934989,-0.0006546532977934989,-0.0006546532977934989,-0.0006546532977934989,-0.0006546532977934989,0.0,0.0,0.0,0.9908162590374899,0.9905284
190,2022-04-18,0.991440647843121,0.983859504978883,0.999327868152063,0.991440647843121,0.991440647843121,0.0005429459665858353,0.0005429459665858353,0.0005429459665858353,0.0005429459665858353,0.0005429459665858353,0.0005429459665858353,0.0,0.0,0.0,0.9919835938097069,1.0195345
191,2022-04-19,0.9914330817200805,0.9847423771779606,1.0003491989981586,0.9914330817200805,0.9914330817200805,0.0011912475129453183,0.0011912475129453183,0.0011912475129453183,0.0011912475129453183,0.0011912475129453183,0.0011912475129453183,0.0,0.0,0.0,0.9926243292330258,0.9944373
192,2022-04-21,0.9914179494739994,0.9824653092054952,0.9985398505786686,0.9914179494739994,0.9914179494739994,-0.0006546532977973791,-0.0006546532977973791,-0.0006546532977973791,-0.0006546532977973791,-0.0006546532977973791,-0.0006546532977973791,0.0,0.0,0.0,0.9907632961762021,0.9877523
193,2022-04-22,0.9914103833509589,0.9853025420440963,1.000631660856697,0.9914103833509589,0.9914103833509589,0.0016448215943812572,0.0016448215943812572,0.0016448215943812572,0.0016448215943812572,0.0016448215943812572,0.0016448215943812572,0.0,0.0,0.0,0.9930552049453402,0.9904168
194,2022-04-25,0.9913876849818372,0.9844819166119965,0.9996831662671727,0.9913876849818372,0.9913876849818372,0.0005429459665830066,0.0005429459665830066,0.0005429459665830066,0.0005429459665830066,0.0005429459665830066,0.0005429459665830066,0.0,0.0,0.0,0.9919306309484202,0.990778
195,2022-04-26,0.9913801188587967,0.9849977504508424,0.999860800087325,0.9913801188587967,0.9913801188587967,0.0011912475129464476,0.0011912475129464476,0.0011912475129464476,0.0011912475129464476,0.0011912475129464476,0.0011912475129464476,0.0,0.0,0.0,0.9925713663717431,0.9914688
196,2022-04-27,0.9913725527357561,0.9845017259706043,0.9994788718015819,0.9913725527357561,0.9913725527357561,0.0009084205527801235,0.0009084205527801235,0.0009084205527801235,0.0009084205527801235,0.0009084205527801235,0.0009084205527801235,0.0,0.0,0.0,0.9922809732885363,0.9906269
197,2022-04-29,0.9913574204896749,0.9849462522868775,1.0008134093095433,0.9913574204896749,0.9913574204896749,0.001644821594382338,0.001644821594382338,0.001644821594382338,0.001644821594382338,0.001644821594382338,0.001644821594382338,0.0,0.0,0.0,0.9930022420840572,1.0001967
198,2022-05-02,0.9913347221205533,0.9845276372382702,0.9991321413384,0.9913347221205533,0.9913347221205533,0.0005429459665750103,0.0005429459665750103,0.0005429459665750103,0.0005429459665750103,0.0005429459665750103,0.0005429459665750103,0.0,0.0,0.0,0.9918776680871283,0.9907776
199,2022-05-04,0.9913195898744722,0.9848527086778455,0.9995375411642544,0.9913195898744722,0.9913195898744722,0.0009084205527765249,0.0009084205527765249,0.0009084205527765249,0.0009084205527765249,0.0009084205527765249,0.0009084205527765249,0.0,0.0,0.0,0.9922280104272487,0.9905282
200,2022-05-06,0.991304457628391,0.9848935941492609,1.0007784569560643,0.991304457628391,0.991304457628391,0.0016448215943834184,0.0016448215943834184,0.0016448215943834184,0.0016448215943834184,0.0016448215943834184,0.0016448215943834184,0.0,0.0,0.0,0.9929492792227744,0.9982495
201,2022-05-10,0.9912741931362289,0.9856813808497258,0.9999844799234926,0.9912741931362289,0.9912741931362289,0.001191247512948368,0.001191247512948368,0.001191247512948368,0.001191247512948368,0.001191247512948368,0.001191247512948368,0.0,0.0,0.0,0.9924654406491773,0.9914698
202,2022-05-11,0.9912666270131882,0.9846206876288887,0.9995982217286318,0.9912666270131882,0.9912666270131882,0.0009084205527798381,0.0009084205527798381,0.0009084205527798381,0.0009084205527798381,0.0009084205527798381,0.0009084205527798381,0.0,0.0,0.0,0.9921750475659681,0.9926384
203,2022-05-12,0.9912590608901477,0.9828844502229886,0.9986628481789132,0.9912590608901477,0.9912590608901477,-0.0006546532977946691,-0.0006546532977946691,-0.0006546532977946691,-0.0006546532977946691,-0.0006546532977946691,-0.0006546532977946691,0.0,0.0,0.0,0.990604407592353,0.9898358
204,2022-05-13,0.9912514947671072,0.9846347356488494,1.000520140203619,0.9912514947671072,0.9912514947671072,0.001644821594380365,0.001644821594380365,0.001644821594380365,0.001644821594380365,0.001644821594380365,0.001644821594380365,0.0,0.0,0.0,0.9928963163614876,0.9946477
205,2022-05-16,0.9912287963979856,0.9842733630516094,0.9994920849921715,0.9912287963979856,0.9912287963979856,0.0005429459665821056,0.0005429459665821056,0.0005429459665821056,0.0005429459665821056,0.0005429459665821056,0.0005429459665821056,0.0,0.0,0.0,0.9917717423645677,0.9896536
206,2022-05-17,0.9912212302749449,0.9847786448179245,0.9997228782390674,0.9912212302749449,0.9912212302749449,0.0011912475129520557,0.0011912475129520557,0.0011912475129520557,0.0011912475129520557,0.0011912475129520557,0.0011912475129520557,0.0,0.0,0.0,0.992412477787897,0.9902381
207,2022-05-18,0.9912136641519044,0.9842652480375964,0.9997270544088925,0.9912136641519044,0.9912136641519044,0.0009084205527813577,0.0009084205527813577,0.0009084205527813577,0.0009084205527813577,0.0009084205527813577,0.0009084205527813577,0.0,0.0,0.0,0.9921220847046858,0.9907343
208,2022-05-19,0.9912060980288638,0.9824343438023112,0.9985842868431821,0.9912060980288638,0.9912060980288638,-0.0006546532977940225,-0.0006546532977940225,-0.0006546532977940225,-0.0006546532977940225,-0.0006546532977940225,-0.0006546532977940225,0.0,0.0,0.0,0.9905514447310698,0.9905286
209,2022-05-20,0.9911985319058233,0.9854293594695687,1.0006641164078312,0.9911985319058233,0.9911985319058233,0.0016448215943814458,0.0016448215943814458,0.0016448215943814458,0.0016448215943814458,0.0016448215943814458,0.0016448215943814458,0.0,0.0,0.0,0.9928433535002047,0.9916395
210,2022-05-25,0.9911607012906205,0.9846890895624216,0.9995267202632884,0.9911607012906205,0.9911607012906205,0.0009084205527812153,0.0009084205527812153,0.0009084205527812153,0.0009084205527812153,0.0009084205527812153,0.0009084205527812153,0.0,0.0,0.0,0.9920691218434017,0.9894799
211,2022-05-27,0.9911455690445394,0.9858384411594463,1.0002823904377163,0.9911455690445394,0.9911455690445394,0.0016448215943804594,0.0016448215943804594,0.0016448215943804594,0.0016448215943804594,0.0016448215943804594,0.0016448215943804594,0.0,0.0,0.0,0.9927903906389199,0.9903284
212,2022-05-30,0.9911228706754177,0.9840296484493717,0.9992225472082995,0.9911228706754177,0.9911228706754177,0.0005429459665776568,0.0005429459665776568,0.0005429459665776568,0.0005429459665776568,0.0005429459665776568,0.0005429459665776568,0.0,0.0,0.0,0.9916658166419954,0.9947382
213,2022-06-03,0.9910926061832556,0.9848102073834933,1.0008228411807285,0.9910926061832556,0.9910926061832556,0.0016448215943843806,0.0016448215943843806,0.0016448215943843806,0.0016448215943843806,0.0016448215943843806,0.0016448215943843806,0.0,0.0,0.0,0.99273742777764,0.9947268
214,2022-06-07,0.9910623416910933,0.9847299189008246,0.9999386409676438,0.9910623416910933,0.9910623416910933,0.0011912475129467514,0.0011912475129467514,0.0011912475129467514,0.0011912475129467514,0.0011912475129467514,0.0011912475129467514,0.0,0.0,0.0,0.99225358920404,0.9948299
215,2022-06-08,0.9910547755680528,0.9843451851907425,1.0002793430143968,0.9910547755680528,0.9910547755680528,0.00090842055278093,0.00090842055278093,0.00090842055278093,0.00090842055278093,0.00090842055278093,0.00090842055278093,0.0,0.0,0.0,0.9919631961208337,0.9937482
216,2022-06-09,0.9910472094450122,0.9831767702684564,0.9977953109797084,0.9910472094450122,0.9910472094450122,-0.0006546532977958389,-0.0006546532977958389,-0.0006546532977958389,-0.0006546532977958389,-0.0006546532977958389,-0.0006546532977958389,0.0,0.0,0.0,0.9903925561472164,0.9904776
217,2022-06-10,0.9910396433219716,0.9851338879268027,1.0005915825410536,0.9910396433219716,0.9910396433219716,0.0016448215943813274,0.0016448215943813274,0.0016448215943813274,0.0016448215943813274,0.0016448215943813274,0.0016448215943813274,0.0,0.0,0.0,0.9926844649163529,0.9958627
218,2022-06-13,0.99101694495285,0.983573834385823,0.9991778988424661,0.99101694495285,0.99101694495285,0.0005429459665783757,0.0005429459665783757,0.0005429459665783757,0.0005429459665783757,0.0005429459665783757,0.0005429459665783757,0.0,0.0,0.0,0.9915598909194283,0.9935372
219,2022-06-14,0.9910093788298094,0.9842930418785918,0.9999202625661548,0.9910093788298094,0.9910093788298094,0.0011912475129478804,0.0011912475129478804,0.0011912475129478804,0.0011912475129478804,0.0011912475129478804,0.0011912475129478804,0.0,0.0,0.0,0.9922006263427573,0.9931773
220,2022-06-15,0.9910018127067688,0.9836347801537629,0.9989880628488493,0.9910018127067688,0.9910018127067688,0.0009084205527773313,0.0009084205527773313,0.0009084205527773313,0.0009084205527773313,0.0009084205527773313,0.0009084205527773313,0.0,0.0,0.0,0.9919102332595461,0.9902593
221,2022-06-17,0.9909866804606877,0.985074245653945,0.9997965510691298,0.9909866804606877,0.9909866804606877,0.0016448215943824082,0.0016448215943824082,0.0016448215943824082,0.0016448215943824082,0.0016448215943824082,0.0016448215943824082,0.0,0.0,0.0,0.9926315020550701,0.9944654
222,2022-06-22,0.9909488498454849,0.9844094461721972,0.9991221370339386,0.9909488498454849,0.9909488498454849,0.0009084205527788512,0.0009084205527788512,0.0009084205527788512,0.0009084205527788512,0.0009084205527788512,0.0009084205527788512,0.0,0.0,0.0,0.9918572703982638,0.9955449
223,2022-06-23,0.9909412837224444,0.9826645974525734,0.9974733404558966,0.9909412837224444,0.9909412837224444,-0.0006546532977945461,-0.0006546532977945461,-0.0006546532977945461,-0.0006546532977945461,-0.0006546532977945461,-0.0006546532977945461,0.0,0.0,0.0,0.9902866304246498,0.9895493
224,2022-06-24,0.9909337175994039,0.9848278079038867,0.99988640435334,0.9909337175994039,0.9909337175994039,0.001644821594381422,0.001644821594381422,0.001644821594381422,0.001644821594381422,0.001644821594381422,0.001644821594381422,0.0,0.0,0.0,0.9925785391937852,0.9907386
225,2022-06-27,0.9909110192302821,0.9841417705738731,0.9990938570509049,0.9909110192302821,0.9909110192302821,0.0005429459665854705,0.0005429459665854705,0.0005429459665854705,0.0005429459665854705,0.0005429459665854705,0.0005429459665854705,0.0,0.0,0.0,0.9914539651968676,0.9907479
226,2022-06-30,0.9908883208611605,0.9823236704714314,0.9975103930140147,0.9908883208611605,0.9908883208611605,-0.0006546532977984263,-0.0006546532977984263,-0.0006546532977984263,-0.0006546532977984263,-0.0006546532977984263,-0.0006546532977984263,0.0,0.0,0.0,0.9902336675633621,0.9905372
227,2022-07-01,0.99088075473812,0.9850138150723766,1.0001381662494344,0.99088075473812,0.99088075473812,0.0016448215943804351,0.0016448215943804351,0.0016448215943804351,0.0016448215943804351,0.0016448215943804351,0.0016448215943804351,0.0,0.0,0.0,0.9925255763325004,0.9908673
228,2022-07-04,0.9908580563689983,0.9832250432647037,0.999020198884175,0.9908580563689983,0.9908580563689983,0.0005429459665826418,0.0005429459665826418,0.0005429459665826418,0.0005429459665826418,0.0005429459665826418,0.0005429459665826418,0.0,0.0,0.0,0.9914010023355809,0.9932654
229,2022-07-08,0.9908277918768361,0.9850485635903485,0.9999021076199849,0.9908277918768361,0.9908277918768361,0.0016448215943794492,0.0016448215943794492,0.0016448215943794492,0.0016448215943794492,0.0016448215943794492,0.0016448215943794492,0.0,0.0,0.0,0.9924726134712155,0.9874357
230,2022-07-11,0.9908050935077144,0.9831186192251397,0.9991112242738844,0.9908050935077144,0.9908050935077144,0.0005429459665746457,0.0005429459665746457,0.0005429459665746457,0.0005429459665746457,0.0005429459665746457,0.0005429459665746457,0.0,0.0,0.0,0.9913480394742891,0.989721
231,2022-07-12,0.9907975273846739,0.9841277706459031,0.9998434788797954,0.9907975273846739,0.9907975273846739,0.0011912475129462643,0.0011912475129462643,0.0011912475129462643,0.0011912475129462643,0.0011912475129462643,0.0011912475129462643,0.0,0.0,0.0,0.9919887748976202,0.9903952
232,2022-07-13,0.9907899612616333,0.9838712552332981,0.9990493038970513,0.9907899612616333,0.9907899612616333,0.0009084205527784232,0.0009084205527784232,0.0009084205527784232,0.0009084205527784232,0.0009084205527784232,0.0009084205527784232,0.0,0.0,0.0,0.9916983818144117,0.9877779
233,2022-07-15,0.9907748290155521,0.9844282981851247,0.999800722437214,0.9907748290155521,0.9907748290155521,0.00164482159438053,0.00164482159438053,0.00164482159438053,0.00164482159438053,0.00164482159438053,0.00164482159438053,0.0,0.0,0.0,0.9924196506099326,0.9947382
234,2022-07-18,0.9907521306464305,0.9835404873908132,0.9989656584893101,0.9907521306464305,0.9907521306464305,0.0005429459665781932,0.0005429459665781932,0.0005429459665781932,0.0005429459665781932,0.0005429459665781932,0.0005429459665781932,0.0,0.0,0.0,0.9912950766130088,0.9905677
235,2022-07-19,0.99074456452339,0.9846132902322479,0.9995813439172383,0.99074456452339,0.99074456452339,0.0011912475129473934,0.0011912475129473934,0.0011912475129473934,0.0011912475129473934,0.0011912475129473934,0.0011912475129473934,0.0,0.0,0.0,0.9919358120363374,0.9951658
236,2022-07-21,0.9907294322773088,0.9829406035651609,0.9974336515943459,0.9907294322773088,0.9907294322773088,-0.0006546532977957161,-0.0006546532977957161,-0.0006546532977957161,-0.0006546532977957161,-0.0006546532977957161,-0.0006546532977957161,0.0,0.0,0.0,0.9900747789795131,0.9885247
237,2022-07-22,0.9907218661542683,0.9842800567856277,1.0000367859456527,0.9907218661542683,0.9907218661542683,0.0016448215943803174,0.0016448215943803174,0.0016448215943803174,0.0016448215943803174,0.0016448215943803174,0.0016448215943803174,0.0,0.0,0.0,0.9923666877486486,0.9913361
238,2022-07-23,0.9907143000312277,0.981130161718106,0.9968780141170667,0.9907143000312277,0.9907143000312277,-0.001816391802751474,-0.001816391802751474,-0.001816391802751474,-0.001816391802751474,-0.001816391802751474,-0.001816391802751474,0.0,0.0,0.0,0.9888979082284762,
239,2022-07-24,0.9907067339081872,0.9811590519822644,0.9964329929012079,0.9907058663636706,0.9907080652451814,-0.0018163905261320162,-0.0018163905261320162,-0.0018163905261320162,-0.0018163905261320162,-0.0018163905261320162,-0.0018163905261320162,0.0,0.0,0.0,0.9888903433820552,
240,2022-07-25,0.9906991677851467,0.9834827188873854,0.9984654186342368,0.9906951644431121,0.9907039981979693,0.0005429459665817407,0.0005429459665817407,0.0005429459665817407,0.0005429459665817407,0.0005429459665817407,0.0005429459665817407,0.0,0.0,0.0,0.9912421137517284,
241,2022-07-26,0.9906916016621061,0.9836369893499131,0.9997418135242969,0.9906845252533171,0.9907012676987714,0.0011912475129510814,0.0011912475129510814,0.0011912475129510814,0.0011912475129510814,0.0011912475129510814,0.0011912475129510814,0.0,0.0,0.0,0.9918828491750572,
242,2022-07-27,0.9906840355390655,0.9835672925304633,0.9995483487385903,0.990672332520093,0.9906982362779008,0.0009084205527832564,0.0009084205527832564,0.0009084205527832564,0.0009084205527832564,0.0009084205527832564,0.0009084205527832564,0.0,0.0,0.0,0.9915924560918488,
243,2022-07-28,0.9906764694160249,0.9819272228843923,0.9976687700109266,0.9906580379800356,0.9906975706678193,-0.0006546532977942988,-0.0006546532977942988,-0.0006546532977942988,-0.0006546532977942988,-0.0006546532977942988,-0.0006546532977942988,0.0,0.0,0.0,0.9900218161182306,
