,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)케이디엔지니어링건축사사무소,y
133,2022-01-03,0.9964017997655544,0.9849864380207995,1.00705553641334,0.9964017997655544,0.9964017997655544,-0.00010828041948705269,-0.00010828041948705269,-0.00010828041948705269,-0.00010828041948705269,-0.00010828041948705269,-0.00010828041948705269,0.0,0.0,0.0,0.9962935193460674,0.9965195
134,2022-01-04,0.9964797988562231,0.9875268114501782,1.0091985107047068,0.9964797988562231,0.9964797988562231,0.001442977527389499,0.001442977527389499,0.001442977527389499,0.001442977527389499,0.001442977527389499,0.001442977527389499,0.0,0.0,0.0,0.9979227763836126,1.0137099
135,2022-01-05,0.9965577979468916,0.9849711510596172,1.0072945876391433,0.9965577979468916,0.9965577979468916,-2.4563717905033426e-05,-2.4563717905033426e-05,-2.4563717905033426e-05,-2.4563717905033426e-05,-2.4563717905033426e-05,-2.4563717905033426e-05,0.0,0.0,0.0,0.9965332342289865,0.9962686
136,2022-01-06,0.9966357970375603,0.9859557530767401,1.0075832193302248,0.9966357970375603,0.9966357970375603,0.0005914059584812834,0.0005914059584812834,0.0005914059584812834,0.0005914059584812834,0.0005914059584812834,0.0005914059584812834,0.0,0.0,0.0,0.9972272029960416,0.9966669
137,2022-01-07,0.9966794038630419,0.9866836531611861,1.0081834615659933,0.9966794038630419,0.9966794038630419,0.0007835857141638101,0.0007835857141638101,0.0007835857141638101,0.0007835857141638101,0.0007835857141638101,0.0007835857141638101,0.0,0.0,0.0,0.9974629895772057,1.0062373
138,2022-01-12,0.9968974379904497,0.9851368564635816,1.0063710450644594,0.9968974379904497,0.9968974379904497,-2.4563717904949594e-05,-2.4563717904949594e-05,-2.4563717904949594e-05,-2.4563717904949594e-05,-2.4563717904949594e-05,-2.4563717904949594e-05,0.0,0.0,0.0,0.9968728742725448,0.9967089
139,2022-01-14,0.9969846516414128,0.9873996751428901,1.008296799142737,0.9969846516414128,0.9969846516414128,0.0007835857141675586,0.0007835857141675586,0.0007835857141675586,0.0007835857141675586,0.0007835857141675586,0.0007835857141675586,0.0,0.0,0.0,0.9977682373555804,0.9968346
140,2022-01-17,0.9971154721178574,0.9871032004560955,1.0073567887243344,0.9971154721178574,0.9971154721178574,-0.00010828041948403675,-0.00010828041948403675,-0.00010828041948403675,-0.00010828041948403675,-0.00010828041948403675,-0.00010828041948403675,0.0,0.0,0.0,0.9970071916983734,1.0045478
141,2022-01-18,0.9971590789433391,0.9880631918080777,1.0094790959077615,0.9971590789433391,0.9971590789433391,0.0014429775273906748,0.0014429775273906748,0.0014429775273906748,0.0014429775273906748,0.0014429775273906748,0.0014429775273906748,0.0,0.0,0.0,0.9986020564707297,1.0051687
142,2022-01-21,0.9972898994197836,0.9875071121275059,1.0091610667403736,0.9972898994197836,0.9972898994197836,0.0007835857141674907,0.0007835857141674907,0.0007835857141674907,0.0007835857141674907,0.0007835857141674907,0.0007835857141674907,0.0,0.0,0.0,0.9980734851339511,1.0047093
