,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(자)건축사사무소 태백,y
45,2021-07-15,0.9928895895800971,0.9798880193634483,1.011380622827648,0.9928895895800971,0.9928895895800971,0.003289126616800635,0.003289126616800635,0.003289126616800635,0.003289126616800635,0.003289126616800635,0.003289126616800635,0.0,0.0,0.0,0.9961787161968977,1.0105976733
46,2021-07-16,0.9928870904764936,0.9753001575776837,1.0072081832519904,0.9928870904764936,0.9928870904764936,-0.0010101586956176023,-0.0010101586956176023,-0.0010101586956176023,-0.0010101586956176023,-0.0010101586956176023,-0.0010101586956176023,0.0,0.0,0.0,0.991876931780876,0.9866428239
47,2021-07-19,0.9928795931656829,0.9776230807025138,1.0098414095267942,0.9928795931656829,0.9928795931656829,0.0007901630551271138,0.0007901630551271138,0.0007901630551271138,0.0007901630551271138,0.0007901630551271138,0.0007901630551271138,0.0,0.0,0.0,0.99366975622081,0.9871929
48,2021-07-20,0.9928770940620792,0.9780822813462008,1.0121700147958468,0.9928770940620792,0.9928770940620792,0.0020392307346942112,0.0020392307346942112,0.0020392307346942112,0.0020392307346942112,0.0020392307346942112,0.0020392307346942112,0.0,0.0,0.0,0.9949163247967735,1.0150438199
49,2021-07-22,0.9928720958548721,0.9796522196748554,1.0126726036765321,0.9928720958548721,0.9928720958548721,0.0032891266167985756,0.0032891266167985756,0.0032891266167985756,0.0032891266167985756,0.0032891266167985756,0.0032891266167985756,0.0,0.0,0.0,0.9961612224716707,0.9869127
50,2021-07-23,0.9928695967728911,0.9745685322981305,1.0095776015888431,0.9928695967728911,0.9928695967728911,-0.0010101586956212704,-0.0010101586956212704,-0.0010101586956212704,-0.0010101586956212704,-0.0010101586956212704,-0.0010101586956212704,0.0,0.0,0.0,0.9918594380772698,0.9876893
51,2021-07-27,0.9928596004449671,0.978054975466909,1.010251387875794,0.9928596004449671,0.9928596004449671,0.0020392307347008236,0.0020392307347008236,0.0020392307347008236,0.0020392307347008236,0.0020392307347008236,0.0020392307347008236,0.0,0.0,0.0,0.9948988311796679,0.9960594654
52,2021-07-29,0.9928546022810053,0.978707311054525,1.0121583688047218,0.9928546022810053,0.9928546022810053,0.0032891266168004105,0.0032891266168004105,0.0032891266168004105,0.0032891266168004105,0.0032891266168004105,0.0032891266168004105,0.0,0.0,0.0,0.9961437288978057,0.9902303221
53,2021-07-30,0.9928521031990243,0.9747488627859039,1.007294981322019,0.9928521031990243,0.9928521031990243,-0.0010101586956065048,-0.0010101586956065048,-0.0010101586956065048,-0.0010101586956065048,-0.0010101586956065048,-0.0010101586956065048,0.0,0.0,0.0,0.9918419445034178,0.9893460783
54,2021-08-02,0.9928446059530813,0.9755972708547331,1.0099410972351424,0.9928446059530813,0.9928446059530813,0.000790163055128472,0.000790163055128472,0.000790163055128472,0.000790163055128472,0.000790163055128472,0.000790163055128472,0.0,0.0,0.0,0.9936347690082098,0.9868826045
55,2021-08-03,0.9928421068711003,0.9774259827576397,1.0099875861819605,0.9928421068711003,0.9928421068711003,0.0020392307346967235,0.0020392307346967235,0.0020392307346967235,0.0020392307346967235,0.0020392307346967235,0.0020392307346967235,0.0,0.0,0.0,0.994881337605797,1.0004382
56,2021-08-05,0.9928371087071385,0.9792517352951698,1.0136194317719247,0.9928371087071385,0.9928371087071385,0.0032891266167983505,0.0032891266167983505,0.0032891266167983505,0.0032891266167983505,0.0032891266167983505,0.0032891266167983505,0.0,0.0,0.0,0.9961262353239368,1.0137209
57,2021-08-06,0.9928346096251575,0.9762068273488218,1.0073185391132549,0.9928346096251575,0.9928346096251575,-0.0010101586956096295,-0.0010101586956096295,-0.0010101586956096295,-0.0010101586956096295,-0.0010101586956096295,-0.0010101586956096295,0.0,0.0,0.0,0.9918244509295479,0.9902008
58,2021-08-09,0.9928271121580299,0.9766376086945896,1.010448916273123,0.9928271121580299,0.9928271121580299,0.0007901630551347498,0.0007901630551347498,0.0007901630551347498,0.0007901630551347498,0.0007901630551347498,0.0007901630551347498,0.0,0.0,0.0,0.9936172752131647,0.9952025712
59,2021-08-10,0.9928246130023207,0.9780701275191096,1.010192985919662,0.9928246130023207,0.9928246130023207,0.0020392307346977765,0.0020392307346977765,0.0020392307346977765,0.0020392307346977765,0.0020392307346977765,0.0020392307346977765,0.0,0.0,0.0,0.9948638437370185,0.9958953
60,2021-08-12,0.9928196146909023,0.9803558150404817,1.0108632097115258,0.9928196146909023,0.9928196146909023,0.0032891266167982378,0.0032891266167982378,0.0032891266167982378,0.0032891266167982378,0.0032891266167982378,0.0032891266167982378,0.0,0.0,0.0,0.9961087413077006,0.9957182343
61,2021-08-17,0.9928071189123562,0.978444320815333,1.0117004607913533,0.9928071189123562,0.9928071189123562,0.002039230734699033,0.002039230734699033,0.002039230734699033,0.002039230734699033,0.002039230734699033,0.002039230734699033,0.0,0.0,0.0,0.9948463496470552,1.0015532
62,2021-08-18,0.992804619756647,0.9783495732944684,1.0109688126089158,0.992804619756647,0.992804619756647,0.0015634728776916687,0.0015634728776916687,0.0015634728776916687,0.0015634728776916687,0.0015634728776916687,0.0015634728776916687,0.0,0.0,0.0,0.9943680926343387,0.9879053076
63,2021-08-19,0.9928021206009379,0.9798442599196271,1.0123401509060537,0.9928021206009379,0.9928021206009379,0.003289126616798126,0.003289126616798126,0.003289126616798126,0.003289126616798126,0.003289126616798126,0.003289126616798126,0.0,0.0,0.0,0.996091247217736,1.0147615538
64,2021-08-20,0.9927996214452286,0.9754798202330256,1.007521311641864,0.9927996214452286,0.9927996214452286,-0.0010101586956164223,-0.0010101586956164223,-0.0010101586956164223,-0.0010101586956164223,-0.0010101586956164223,-0.0010101586956164223,0.0,0.0,0.0,0.9917894627496122,0.9888702673
65,2021-08-23,0.9927921239781011,0.9770700927577081,1.0103946246514086,0.9927921239781011,0.9927921239781011,0.0007901630551361078,0.0007901630551361078,0.0007901630551361078,0.0007901630551361078,0.0007901630551361078,0.0007901630551361078,0.0,0.0,0.0,0.9935822870332373,0.9884803
66,2021-08-25,0.9927871256666827,0.9789977929954145,1.0108713070720343,0.9927871256666827,0.9927871256666827,0.001563472877695407,0.001563472877695407,0.001563472877695407,0.001563472877695407,0.001563472877695407,0.001563472877695407,0.0,0.0,0.0,0.9943505985443781,1.0028652579
67,2021-08-27,0.9927815864593934,0.9763751877416932,1.0082615357851679,0.9927815864593934,0.9927815864593934,-0.0010101586956200912,-0.0010101586956200912,-0.0010101586956200912,-0.0010101586956200912,-0.0010101586956200912,-0.0010101586956200912,0.0,0.0,0.0,0.9917714277637734,0.9888835079
68,2021-08-30,0.9927732776484596,0.977229075266648,1.0097184220006192,0.9927732776484596,0.9927732776484596,0.0007901630551423861,0.0007901630551423861,0.0007901630551423861,0.0007901630551423861,0.0007901630551423861,0.0007901630551423861,0.0,0.0,0.0,0.9935634407036019,1.0030977377
69,2021-08-31,0.9927705080448148,0.9786063699837888,1.0112495751334682,0.9927705080448148,0.9927705080448148,0.002039230734696189,0.002039230734696189,0.002039230734696189,0.002039230734696189,0.002039230734696189,0.002039230734696189,0.0,0.0,0.0,0.994809738779511,0.9861053
70,2021-09-01,0.9927677384411703,0.9780527320715824,1.0115879010518305,0.9927677384411703,0.9927677384411703,0.0015634728776910385,0.0015634728776910385,0.0015634728776910385,0.0015634728776910385,0.0015634728776910385,0.0015634728776910385,0.0,0.0,0.0,0.9943312113188613,0.9902902
71,2021-09-03,0.9927621992338809,0.9750047375761298,1.0081771905172303,0.9927621992338809,0.9927621992338809,-0.0010101586956226716,-0.0010101586956226716,-0.0010101586956226716,-0.0010101586956226716,-0.0010101586956226716,-0.0010101586956226716,0.0,0.0,0.0,0.9917520405382582,0.9888825
