,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토문엔지니어링 건축사사무소,y
224,2022-07-24,0.993208979644379,0.9894728279824679,0.9956834185307513,0.9932063322596512,0.993212763819939,-0.0005483397890075183,-0.0005483397890075183,-0.0005483397890075183,-0.0005483397890075183,-0.0005483397890075183,-0.0005483397890075183,0.0,0.0,0.0,0.9926606398553716,
225,2022-07-25,0.9932121160719497,0.9899052901787103,0.9964866857518584,0.9932026607834321,0.9932241693620183,0.00011128862455088347,0.00011128862455088347,0.00011128862455088347,0.00011128862455088347,0.00011128862455088347,0.00011128862455088347,0.0,0.0,0.0,0.9933234046965006,
226,2022-07-26,0.9932152524995204,0.9907379920561245,0.9971110264148682,0.993190837183858,0.9932360981413914,0.0007112424918154125,0.0007112424918154125,0.0007112424918154125,0.0007112424918154125,0.0007112424918154125,0.0007112424918154125,0.0,0.0,0.0,0.9939264949913358,
227,2022-07-27,0.9932183889270911,0.9897831735673981,0.9961499973971982,0.9931817014354196,0.9932458206308045,-0.00015228313631657908,-0.00015228313631657908,-0.00015228313631657908,-0.00015228313631657908,-0.00015228313631657908,-0.00015228313631657908,0.0,0.0,0.0,0.9930661057907746,
228,2022-07-28,0.9932215253546617,0.9902191896349966,0.9964384375951106,0.9931717825221642,0.9932644770292628,0.00010559859572367238,0.00010559859572367238,0.00010559859572367238,0.00010559859572367238,0.00010559859572367238,0.00010559859572367238,0.0,0.0,0.0,0.9933271239503854,
229,2022-07-29,0.9932246617822323,0.9904046104445582,0.9967350154809739,0.993159180558298,0.9932816045498537,0.0003208331194530142,0.0003208331194530142,0.0003208331194530142,0.0003208331194530142,0.0003208331194530142,0.0003208331194530142,0.0,0.0,0.0,0.9935454949016853,
230,2022-07-30,0.9932277982098031,0.9896096122846547,0.9957963128365533,0.9931457739451736,0.9932971279569454,-0.0005483399062141187,-0.0005483399062141187,-0.0005483399062141187,-0.0005483399062141187,-0.0005483399062141187,-0.0005483399062141187,0.0,0.0,0.0,0.992679458303589,
231,2022-07-31,0.9932309346373738,0.9895906137617554,0.9960479061476543,0.9931371165026419,0.9933118284736668,-0.0005483397890069873,-0.0005483397890069873,-0.0005483397890069873,-0.0005483397890069873,-0.0005483397890069873,-0.0005483397890069873,0.0,0.0,0.0,0.9926825948483667,
232,2022-08-01,0.9932340710649443,0.9900147767784485,0.9964617429035605,0.9931188712909083,0.99333560361459,0.00011128862455163022,0.00011128862455163022,0.00011128862455163022,0.00011128862455163022,0.00011128862455163022,0.00011128862455163022,0.0,0.0,0.0,0.993345359689496,
233,2022-08-02,0.993237207492515,0.9907464271232422,0.9971528842237005,0.9931105439695206,0.9933604910198014,0.0007112424918145386,0.0007112424918145386,0.0007112424918145386,0.0007112424918145386,0.0007112424918145386,0.0007112424918145386,0.0,0.0,0.0,0.9939484499843295,
234,2022-08-03,0.9932403439200858,0.9896024546578452,0.9963243942986804,0.9930952314314041,0.9933817612435685,-0.00015228313631757205,-0.00015228313631757205,-0.00015228313631757205,-0.00015228313631757205,-0.00015228313631757205,-0.00015228313631757205,0.0,0.0,0.0,0.9930880607837682,
