,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 선엔지니어링종합건축사사무소,y
345,2022-11-25,1.0015702603847636,0.9879995191630362,1.0157673234121174,0.9943785299250392,1.0078747978210334,0.0008305593486528814,0.0008305593486528814,0.0008305593486528814,0.0008305593486528814,0.0008305593486528814,0.0008305593486528814,0.0,0.0,0.0,1.0024008197334164,
346,2022-11-26,1.0015719711017765,0.983944818136983,1.012427951217665,0.9942812523016147,1.0079539573469287,-0.004318971738062273,-0.004318971738062273,-0.004318971738062273,-0.004318971738062273,-0.004318971738062273,-0.004318971738062273,0.0,0.0,0.0,0.9972529993637143,
347,2022-11-27,1.0015736818187897,0.9828329912624889,1.0097280245924705,0.9941778298119611,1.0080331168728245,-0.004318968168173111,-0.004318968168173111,-0.004318968168173111,-0.004318968168173111,-0.004318968168173111,-0.004318968168173111,0.0,0.0,0.0,0.9972547136506166,
348,2022-11-28,1.0015753925358029,0.9902995010364631,1.017087964937244,0.9940926966141936,1.008111630328353,0.0023770759926501667,0.0023770759926501667,0.0023770759926501667,0.0023770759926501667,0.0023770759926501667,0.0023770759926501667,0.0,0.0,0.0,1.003952468528453,
349,2022-11-29,1.0015771032528158,0.9899567456237536,1.0173854779887794,0.994008833003231,1.0081893792193792,0.0017733828885668794,0.0017733828885668794,0.0017733828885668794,0.0017733828885668794,0.0017733828885668794,0.0017733828885668794,0.0,0.0,0.0,1.0033504861413827,
350,2022-11-30,1.001578813969829,0.9891078905933219,1.018083508721044,0.9939479528046801,1.0082671281104054,0.0019925832297514874,0.0019925832297514874,0.0019925832297514874,0.0019925832297514874,0.0019925832297514874,0.0019925832297514874,0.0,0.0,0.0,1.0035713971995803,
351,2022-12-01,1.001580524686842,0.9888406862749882,1.0179026325723712,0.9938942954585523,1.0083572015210145,0.0016643384466176838,0.0016643384466176838,0.0016643384466176838,0.0016643384466176838,0.0016643384466176838,0.0016643384466176838,0.0,0.0,0.0,1.0032448631334598,
352,2022-12-02,1.001582235403855,0.9876756572552007,1.0165373012202423,0.9938406381124248,1.0084649168701156,0.0008305593486481551,0.0008305593486481551,0.0008305593486481551,0.0008305593486481551,0.0008305593486481551,0.0008305593486481551,0.0,0.0,0.0,1.0024127947525032,
353,2022-12-03,1.0015839461208682,0.9837611475177311,1.011760804046572,0.9937869807662973,1.0085726322192166,-0.004318971738063444,-0.004318971738063444,-0.004318971738063444,-0.004318971738063444,-0.004318971738063444,-0.004318971738063444,0.0,0.0,0.0,0.9972649743828048,
354,2022-12-04,1.0015856568378811,0.9815493478897843,1.011148312783447,0.9937163424344478,1.008672147360511,-0.00431896816818962,-0.00431896816818962,-0.00431896816818962,-0.00431896816818962,-0.00431896816818962,-0.00431896816818962,0.0,0.0,0.0,0.9972666886696915,
