,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)토펙엔지니어링건축사사무소,y
398,2023-01-17,1.0123847733237785,0.9876432512271549,1.0392900690396658,0.9882081716623249,1.0344574106001374,0.0014703660696230483,0.0014703660696230483,0.0014703660696230483,0.0014703660696230483,0.0014703660696230483,0.0014703660696230483,0.0,0.0,0.0,1.0138551393934017,
399,2023-01-18,1.0124434553346346,0.9865242060617134,1.0412065764461909,0.9880902087562978,1.0346314471079834,0.002226628608314422,0.002226628608314422,0.002226628608314422,0.002226628608314422,0.002226628608314422,0.002226628608314422,0.0,0.0,0.0,1.014670083942949,
400,2023-01-19,1.012502137345491,0.9866602946136928,1.0412060337879172,0.9879722458502709,1.0348008941398812,0.0018893053962959858,0.0018893053962959858,0.0018893053962959858,0.0018893053962959858,0.0018893053962959858,0.0018893053962959858,0.0,0.0,0.0,1.014391442741787,
401,2023-01-20,1.0125608193563471,0.9850269252759918,1.038293427871553,0.9878542829442436,1.0349703411717786,-2.7413764456239386e-05,-2.7413764456239386e-05,-2.7413764456239386e-05,-2.7413764456239386e-05,-2.7413764456239386e-05,-2.7413764456239386e-05,0.0,0.0,0.0,1.0125334055918909,
402,2023-01-21,1.0126195013672032,0.9819290475192586,1.035921619658527,0.9877363200382167,1.0351558115889166,-0.002732998865519794,-0.002732998865519794,-0.002732998865519794,-0.002732998865519794,-0.002732998865519794,-0.002732998865519794,0.0,0.0,0.0,1.0098865025016834,
403,2023-01-22,1.0126781833780594,0.9817092601079771,1.0359842719509507,0.9876183571321896,1.035420629788854,-0.002732996357427663,-0.002732996357427663,-0.002732996357427663,-0.002732996357427663,-0.002732996357427663,-0.002732996357427663,0.0,0.0,0.0,1.0099451870206317,
404,2023-01-23,1.0127368653889155,0.98598327084635,1.038386084383295,0.9874995749879392,1.0356855411521633,-9.2891086837297e-05,-9.2891086837297e-05,-9.2891086837297e-05,-9.2891086837297e-05,-9.2891086837297e-05,-9.2891086837297e-05,0.0,0.0,0.0,1.0126439743020783,
405,2023-01-24,1.0127955473997716,0.9853101568724308,1.0402706768754033,0.9873806648634161,1.0359504525154726,0.0014703660696238092,0.0014703660696238092,0.0014703660696238092,0.0014703660696238092,0.0014703660696238092,0.0014703660696238092,0.0,0.0,0.0,1.0142659134693954,
406,2023-01-25,1.012854229410628,0.9861510172370503,1.0414568630096415,0.9872617547388931,1.036214191471049,0.0022266286083145776,0.0022266286083145776,0.0022266286083145776,0.0022266286083145776,0.0022266286083145776,0.0022266286083145776,0.0,0.0,0.0,1.0150808580189425,
407,2023-01-26,1.0129129114214839,0.9880830565349186,1.0422298095388605,0.9871428446143702,1.0364427230641986,0.0018893053962954272,0.0018893053962954272,0.0018893053962954272,0.0018893053962954272,0.0018893053962954272,0.0018893053962954272,0.0,0.0,0.0,1.0148022168177793,
