,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 동우이앤씨,y
17,2021-06-07,0.990447057943922,0.9810984241075716,0.9958870339372665,0.990447057943922,0.990447057943922,-0.0016952770760608998,-0.0016952770760608998,-0.0016952770760608998,-0.0016952770760608998,-0.0016952770760608998,-0.0016952770760608998,0.0,0.0,0.0,0.9887517808678611,0.9910501165
18,2021-06-08,0.990440243769944,0.9799355405372108,0.9954278043157203,0.990440243769944,0.990440243769944,-0.002846392095727599,-0.002846392095727599,-0.002846392095727599,-0.002846392095727599,-0.002846392095727599,-0.002846392095727599,0.0,0.0,0.0,0.9875938516742164,0.9851983468
19,2021-06-09,0.9904334295959659,0.9789160092216854,0.9937134893614591,0.9904334295959659,0.9904334295959659,-0.004158519404499588,-0.004158519404499588,-0.004158519404499588,-0.004158519404499588,-0.004158519404499588,-0.004158519404499588,0.0,0.0,0.0,0.9862749101914663,0.9836377697
20,2021-06-11,0.9904198012480097,0.9807093226949072,0.9955283421626753,0.9904198012480097,0.9904198012480097,-0.0021456006592269023,-0.0021456006592269023,-0.0021456006592269023,-0.0021456006592269023,-0.0021456006592269023,-0.0021456006592269023,0.0,0.0,0.0,0.9882742005887828,0.9961833064
21,2021-06-14,0.9903993587260754,0.9814171336304487,0.9962962196552775,0.9903993587260754,0.9903993587260754,-0.0016952770760674527,-0.0016952770760674527,-0.0016952770760674527,-0.0016952770760674527,-0.0016952770760674527,-0.0016952770760674527,0.0,0.0,0.0,0.988704081650008,0.9954468305
22,2021-06-16,0.990373672920235,0.978251938345632,0.9943888836858213,0.990373672920235,0.990373672920235,-0.004158519404500056,-0.004158519404500056,-0.004158519404500056,-0.004158519404500056,-0.004158519404500056,-0.004158519404500056,0.0,0.0,0.0,0.986215153515735,0.9837037912
23,2021-06-17,0.9903608300173149,0.9791333518365012,0.9944522965214646,0.9903608300173149,0.9903608300173149,-0.003691860196591804,-0.003691860196591804,-0.003691860196591804,-0.003691860196591804,-0.003691860196591804,-0.003691860196591804,0.0,0.0,0.0,0.986668969820723,0.989557427
24,2021-06-22,0.990296615502714,0.979429277554358,0.9954817823470229,0.990296615502714,0.990296615502714,-0.0028463920957313084,-0.0028463920957313084,-0.0028463920957313084,-0.0028463920957313084,-0.0028463920957313084,-0.0028463920957313084,0.0,0.0,0.0,0.9874502234069826,0.987931926
25,2021-06-23,0.9902837725997938,0.9790549069243564,0.9935691352449417,0.9902837725997938,0.9902837725997938,-0.004158519404500464,-0.004158519404500464,-0.004158519404500464,-0.004158519404500464,-0.004158519404500464,-0.004158519404500464,0.0,0.0,0.0,0.9861252531952933,0.9836984328
26,2021-06-25,0.9902580867939534,0.9811406302788392,0.995360242173772,0.9902580867939534,0.9902580867939534,-0.0021456006592437786,-0.0021456006592437786,-0.0021456006592437786,-0.0021456006592437786,-0.0021456006592437786,-0.0021456006592437786,0.0,0.0,0.0,0.9881124861347097,0.985212803
27,2021-06-30,0.9901938722793524,0.978386986825592,0.993350552452093,0.9901938722793524,0.9901938722793524,-0.004158519404500932,-0.004158519404500932,-0.004158519404500932,-0.004158519404500932,-0.004158519404500932,-0.004158519404500932,0.0,0.0,0.0,0.9860353528748514,0.9836840025
28,2021-07-01,0.990181029269675,0.9794617078153126,0.9939787025448732,0.990181029269675,0.990181029269675,-0.0036918601965947547,-0.0036918601965947547,-0.0036918601965947547,-0.0036918601965947547,-0.0036918601965947547,-0.0036918601965947547,0.0,0.0,0.0,0.9864891690730803,0.985176184
29,2021-07-02,0.9901681862599977,0.9805299542250638,0.9955157170850311,0.9901681862599977,0.9901681862599977,-0.0021456006592366957,-0.0021456006592366957,-0.0021456006592366957,-0.0021456006592366957,-0.0021456006592366957,-0.0021456006592366957,0.0,0.0,0.0,0.988022585600761,0.9868418148
30,2021-07-05,0.9901296572309657,0.9812388311991571,0.9956413866474769,0.9901296572309657,0.9901296572309657,-0.001695277076052622,-0.001695277076052622,-0.001695277076052622,-0.001695277076052622,-0.001695277076052622,-0.001695277076052622,0.0,0.0,0.0,0.988434380154913,0.9919949
31,2021-07-06,0.9901168142212883,0.9795933171105748,0.995028663971048,0.9901168142212883,0.9901168142212883,-0.0028463920957286894,-0.0028463920957286894,-0.0028463920957286894,-0.0028463920957286894,-0.0028463920957286894,-0.0028463920957286894,0.0,0.0,0.0,0.9872704221255596,0.9861576
32,2021-07-07,0.990103971211611,0.9783516794432842,0.9933089904557045,0.990103971211611,0.990103971211611,-0.00415851940450137,-0.00415851940450137,-0.00415851940450137,-0.00415851940450137,-0.00415851940450137,-0.00415851940450137,0.0,0.0,0.0,0.9859454518071096,0.987951
33,2021-07-12,0.9900397561632243,0.9807798107202361,0.9957189681646603,0.9900397561632243,0.9900397561632243,-0.0016952770760591755,-0.0016952770760591755,-0.0016952770760591755,-0.0016952770760591755,-0.0016952770760591755,-0.0016952770760591755,0.0,0.0,0.0,0.988344479087165,0.9894176133
34,2021-07-13,0.9900269131535469,0.980323892776306,0.9952025545566123,0.9900269131535469,0.9900269131535469,-0.002846392095727379,-0.002846392095727379,-0.002846392095727379,-0.002846392095727379,-0.002846392095727379,-0.002846392095727379,0.0,0.0,0.0,0.9871805210578195,0.9861064
35,2021-07-15,0.990001227086489,0.9790600634165069,0.9932338279417836,0.990001227086489,0.990001227086489,-0.0036918601965904786,-0.0036918601965904786,-0.0036918601965904786,-0.0036918601965904786,-0.0036918601965904786,-0.0036918601965904786,0.0,0.0,0.0,0.9863093668898985,0.9854946956
36,2021-07-16,0.9899883840529601,0.979466403561361,0.9955177807844166,0.9899883840529601,0.9899883840529601,-0.00214560065922253,-0.00214560065922253,-0.00214560065922253,-0.00214560065922253,-0.00214560065922253,-0.00214560065922253,0.0,0.0,0.0,0.9878427833937375,0.9895170254
37,2021-07-19,0.9899498549523732,0.9807730195159308,0.9954853460862716,0.9899498549523732,0.9899498549523732,-0.0016952770760375517,-0.0016952770760375517,-0.0016952770760375517,-0.0016952770760375517,-0.0016952770760375517,-0.0016952770760375517,0.0,0.0,0.0,0.9882545778763356,0.9851717
38,2021-07-20,0.9899370119188443,0.9798716047422018,0.99474626647879,0.9899370119188443,0.9899370119188443,-0.002846392095729557,-0.002846392095729557,-0.002846392095729557,-0.002846392095729557,-0.002846392095729557,-0.002846392095729557,0.0,0.0,0.0,0.9870906198231147,0.9837067298
39,2021-07-22,0.9899113258517864,0.9789717130092449,0.9937889475381547,0.9899113258517864,0.9899113258517864,-0.003691860196588411,-0.003691860196588411,-0.003691860196588411,-0.003691860196588411,-0.003691860196588411,-0.003691860196588411,0.0,0.0,0.0,0.986219465655198,0.9879558
40,2021-07-23,0.9898984828182575,0.979720905895543,0.9953854555417853,0.9898984828182575,0.9898984828182575,-0.002145600659221801,-0.002145600659221801,-0.002145600659221801,-0.002145600659221801,-0.002145600659221801,-0.002145600659221801,0.0,0.0,0.0,0.9877528821590358,0.9836733
41,2021-07-27,0.9898471106841417,0.9793550691114771,0.9950291347431702,0.9898471106841417,0.9898471106841417,-0.00284639209572476,-0.00284639209572476,-0.00284639209572476,-0.00284639209572476,-0.00284639209572476,-0.00284639209572476,0.0,0.0,0.0,0.9870007185884169,0.9890558739
42,2021-07-29,0.9898214246214111,0.9788880725633611,0.9931099056460263,0.9898214246214111,0.9898214246214111,-0.003691860196593429,-0.003691860196593429,-0.003691860196593429,-0.003691860196593429,-0.003691860196593429,-0.003691860196593429,0.0,0.0,0.0,0.9861295644248177,0.9897822207
43,2021-07-30,0.9898085815900457,0.9795016488005353,0.9949225322410339,0.9898085815900457,0.9898085815900457,-0.002145600659245761,-0.002145600659245761,-0.002145600659245761,-0.002145600659245761,-0.002145600659245761,-0.002145600659245761,0.0,0.0,0.0,0.9876629809308,0.9894734866
