,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)한림이앤씨건축사사무소,y
328,2022-11-01,0.9979735512092431,0.9878350765708572,1.0095966824079448,0.9913254246537474,1.004253448345611,0.0010239931513584871,0.0010239931513584871,0.0010239931513584871,0.0010239931513584871,0.0010239931513584871,0.0010239931513584871,0.0,0.0,0.0,0.9989975443606016,
329,2022-11-02,0.9979665294502393,0.9870812265829666,1.0079812497547325,0.9912074187897779,1.0043378452302378,-0.00017446177425447978,-0.00017446177425447978,-0.00017446177425447978,-0.00017446177425447978,-0.00017446177425447978,-0.00017446177425447978,0.0,0.0,0.0,0.9977920676759848,
330,2022-11-03,0.9979595076912355,0.9867631934302397,1.0080551194021785,0.9910939540837709,1.0044648898044761,-0.0011791974575130048,-0.0011791974575130048,-0.0011791974575130048,-0.0011791974575130048,-0.0011791974575130048,-0.0011791974575130048,0.0,0.0,0.0,0.9967803102337225,
331,2022-11-04,0.9979524859322316,0.9876576550556802,1.007950499809417,0.9910021236983927,1.0045648254279878,-0.0001430154675539065,-0.0001430154675539065,-0.0001430154675539065,-0.0001430154675539065,-0.0001430154675539065,-0.0001430154675539065,0.0,0.0,0.0,0.9978094704646777,
332,2022-11-05,0.9979454641732278,0.9871716102904201,1.009120873159318,0.9908544809709073,1.0047041889362895,-0.0004952636681022998,-0.0004952636681022998,-0.0004952636681022998,-0.0004952636681022998,-0.0004952636681022998,-0.0004952636681022998,0.0,0.0,0.0,0.9974502005051256,
333,2022-11-06,0.997938442414224,0.9853141610313924,1.0077171934698383,0.9907388569635897,1.0048433249048827,-0.0004952644163456174,-0.0004952644163456174,-0.0004952644163456174,-0.0004952644163456174,-0.0004952644163456174,-0.0004952644163456174,0.0,0.0,0.0,0.9974431779978784,
334,2022-11-07,0.9979314206552202,0.9887966039033594,1.0100901201998187,0.9906558485544859,1.004982235610045,0.0014632096324127095,0.0014632096324127095,0.0014632096324127095,0.0014632096324127095,0.0014632096324127095,0.0014632096324127095,0.0,0.0,0.0,0.999394630287633,
335,2022-11-08,0.9979243988962164,0.9882354493821935,1.0101726820500387,0.9905779921948846,1.0051211463152077,0.0010239931513578227,0.0010239931513578227,0.0010239931513578227,0.0010239931513578227,0.0010239931513578227,0.0010239931513578227,0.0,0.0,0.0,0.9989483920475742,
336,2022-11-09,0.9979173771372126,0.9866621506065677,1.0080734031747265,0.9905001358352834,1.0052600570203698,-0.00017446177425578996,-0.00017446177425578996,-0.00017446177425578996,-0.00017446177425578996,-0.00017446177425578996,-0.00017446177425578996,0.0,0.0,0.0,0.9977429153629568,
337,2022-11-10,0.9979103553782087,0.9860462975519463,1.007373637769412,0.9904222794756821,1.0053989677255322,-0.0011791974575122669,-0.0011791974575122669,-0.0011791974575122669,-0.0011791974575122669,-0.0011791974575122669,-0.0011791974575122669,0.0,0.0,0.0,0.9967311579206964,
338,2022-11-11,0.9979033336192049,0.9863547432409567,1.0084803033369538,0.9902812010232044,1.0055366846196667,-0.00014301546755208732,-0.00014301546755208732,-0.00014301546755208732,-0.00014301546755208732,-0.00014301546755208732,-0.00014301546755208732,0.0,0.0,0.0,0.9977603181516528,
339,2022-11-12,0.9978963118602011,0.9865087610782489,1.0090679495941923,0.9900727746492242,1.0056217091916972,-0.0004952636681000731,-0.0004952636681000731,-0.0004952636681000731,-0.0004952636681000731,-0.0004952636681000731,-0.0004952636681000731,0.0,0.0,0.0,0.9974010481921011,
340,2022-11-13,0.9978892901011972,0.9864623475323323,1.0085124022419687,0.9899294889123655,1.0057059463945852,-0.0004952644163433263,-0.0004952644163433263,-0.0004952644163433263,-0.0004952644163433263,-0.0004952644163433263,-0.0004952644163433263,0.0,0.0,0.0,0.9973940256848539,
341,2022-11-14,0.9978822683421934,0.9882238889735958,1.0103550732071889,0.9898143487190706,1.005853018493384,0.001463209632414005,0.001463209632414005,0.001463209632414005,0.001463209632414005,0.001463209632414005,0.001463209632414005,0.0,0.0,0.0,0.9993454779746074,
342,2022-11-15,0.9978752465831896,0.9865587522854974,1.0096314853046706,0.989756914880721,1.0059713808121207,0.0010239931513568103,0.0010239931513568103,0.0010239931513568103,0.0010239931513568103,0.0010239931513568103,0.0010239931513568103,0.0,0.0,0.0,0.9988992397345464,
343,2022-11-16,0.9978682248241857,0.986874638587281,1.0089975951925885,0.9897036125924066,1.0060707252765342,-0.0001744617742571004,-0.0001744617742571004,-0.0001744617742571004,-0.0001744617742571004,-0.0001744617742571004,-0.0001744617742571004,0.0,0.0,0.0,0.9976937630499286,
344,2022-11-17,0.9978612030651819,0.9853564426422595,1.0084812925252111,0.9896503103040922,1.0061700697409475,-0.0011791974575130005,-0.0011791974575130005,-0.0011791974575130005,-0.0011791974575130005,-0.0011791974575130005,-0.0011791974575130005,0.0,0.0,0.0,0.9966820056076688,
345,2022-11-18,0.9978541813061781,0.9855862819778923,1.0098357461340504,0.9895240602468994,1.006269414205361,-0.0001430154675557155,-0.0001430154675557155,-0.0001430154675557155,-0.0001430154675557155,-0.0001430154675557155,-0.0001430154675557155,0.0,0.0,0.0,0.9977111658386224,
346,2022-11-19,0.9978471595471743,0.9856324256063955,1.0085089209628837,0.9893890358558942,1.006367269781849,-0.0004952636681021435,-0.0004952636681021435,-0.0004952636681021435,-0.0004952636681021435,-0.0004952636681021435,-0.0004952636681021435,0.0,0.0,0.0,0.9973518958790721,
347,2022-11-20,0.9978401377881704,0.985408734516306,1.0089668096897468,0.989254011464889,1.006464517281558,-0.000495264416344847,-0.000495264416344847,-0.000495264416344847,-0.000495264416344847,-0.000495264416344847,-0.000495264416344847,0.0,0.0,0.0,0.9973448733718255,
348,2022-11-21,0.9978331160291666,0.987460797184396,1.0114865210827102,0.9891189870738838,1.0065614059614836,0.0014632096324153005,0.0014632096324153005,0.0014632096324153005,0.0014632096324153005,0.0014632096324153005,0.0014632096324153005,0.0,0.0,0.0,0.9992963256615819,
349,2022-11-22,0.9978260942701629,0.9872992243595876,1.0110703076649046,0.9889839626828785,1.0066580940158614,0.001023993151355798,0.001023993151355798,0.001023993151355798,0.001023993151355798,0.001023993151355798,0.001023993151355798,0.0,0.0,0.0,0.9988500874215187,
350,2022-11-23,0.997819072511159,0.9865029861498832,1.0091578009085072,0.988849646508706,1.0067338435522009,-0.00017446177425197592,-0.00017446177425197592,-0.00017446177425197592,-0.00017446177425197592,-0.00017446177425197592,-0.00017446177425197592,0.0,0.0,0.0,0.997644610736907,
351,2022-11-24,0.9978120507521552,0.9842856193595858,1.0085459467056992,0.9887236272825082,1.006813347991892,-0.001179197457513734,-0.001179197457513734,-0.001179197457513734,-0.001179197457513734,-0.001179197457513734,-0.001179197457513734,0.0,0.0,0.0,0.9966328532946415,
352,2022-11-25,0.9978050289931514,0.9853479777728787,1.0100569158111081,0.9886614873706493,1.0069519721175701,-0.00014301546755389634,-0.00014301546755389634,-0.00014301546755389634,-0.00014301546755389634,-0.00014301546755389634,-0.00014301546755389634,0.0,0.0,0.0,0.9976620135255975,
353,2022-11-26,0.9977980072341475,0.9839251662990806,1.0101156824799242,0.9885995679659265,1.0070522059263287,-0.00049526366810203,-0.00049526366810203,-0.00049526366810203,-0.00049526366810203,-0.00049526366810203,-0.00049526366810203,0.0,0.0,0.0,0.9973027435660454,
354,2022-11-27,0.9977909854751437,0.9848891799659354,1.0096572007262792,0.9885393723331146,1.0071721624116612,-0.0004952644163425557,-0.0004952644163425557,-0.0004952644163425557,-0.0004952644163425557,-0.0004952644163425557,-0.0004952644163425557,0.0,0.0,0.0,0.9972957210588012,
355,2022-11-28,0.9977839637161399,0.9869426512002558,1.011586734774376,0.9884791767003028,1.0072911538112808,0.0014632096324097787,0.0014632096324097787,0.0014632096324097787,0.0014632096324097787,0.0014632096324097787,0.0014632096324097787,0.0,0.0,0.0,0.9992471733485496,
