,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 영화키스톤건축사사무소,y
364,2023-01-25,0.9988509294030852,0.9836578888185662,1.0098922428587391,0.9937513665204891,1.0043128056184498,-0.0025020253463060474,-0.0025020253463060474,-0.0025020253463060474,-0.0025020253463060474,-0.0025020253463060474,-0.0025020253463060474,0.0,0.0,0.0,0.9963489040567791,
365,2023-01-26,0.9988492245570313,0.9834949960281034,1.0104165714464743,0.9937027740626596,1.0043458886320191,-0.001828581943611403,-0.001828581943611403,-0.001828581943611403,-0.001828581943611403,-0.001828581943611403,-0.001828581943611403,0.0,0.0,0.0,0.9970206426134199,
366,2023-01-27,0.9988475197109774,0.9859471620944725,1.0128159375117054,0.9936509247446268,1.0043910646162775,0.0002874220399521139,0.0002874220399521139,0.0002874220399521139,0.0002874220399521139,0.0002874220399521139,0.0002874220399521139,0.0,0.0,0.0,0.9991349417509295,
367,2023-01-28,0.9988458148649235,0.9875628256806704,1.0143622963053138,0.9935990754265943,1.004435915024695,0.0019659348703342213,0.0019659348703342213,0.0019659348703342213,0.0019659348703342213,0.0019659348703342213,0.0019659348703342213,0.0,0.0,0.0,1.0008117497352578,
368,2023-01-29,0.9988441100188696,0.9880637046696324,1.0143223457150925,0.9935472261085617,1.00448070270868,0.001965932478864928,0.001965932478864928,0.001965932478864928,0.001965932478864928,0.001965932478864928,0.001965932478864928,0.0,0.0,0.0,1.0008100424977346,
369,2023-01-30,0.9988424051728159,0.9844897390251638,1.0117120907991455,0.9935030516297515,1.0045254903926648,-0.0009962439353495426,-0.0009962439353495426,-0.0009962439353495426,-0.0009962439353495426,-0.0009962439353495426,-0.0009962439353495426,0.0,0.0,0.0,0.9978461612374663,
370,2023-01-31,0.998840700326762,0.9866297272411777,1.0130853087272425,0.9934654722823179,1.004570262049384,0.0011075618361113641,0.0011075618361113641,0.0011075618361113641,0.0011075618361113641,0.0011075618361113641,0.0011075618361113641,0.0,0.0,0.0,0.9999482621628734,
371,2023-02-01,0.9988389954807081,0.9830118159369817,1.0097757885554053,0.9934221108313506,1.0046150216131262,-0.0025020253462982632,-0.0025020253462982632,-0.0025020253462982632,-0.0025020253462982632,-0.0025020253462982632,-0.0025020253462982632,0.0,0.0,0.0,0.9963369701344098,
372,2023-02-02,0.9988372906346542,0.9834360313437769,1.0099933827746415,0.9933642060248538,1.0046597811768687,-0.0018285819436122009,-0.0018285819436122009,-0.0018285819436122009,-0.0018285819436122009,-0.0018285819436122009,-0.0018285819436122009,0.0,0.0,0.0,0.997008708691042,
373,2023-02-03,0.9988355857886002,0.9854722938460717,1.0123767984034078,0.9933063204350695,1.0047045407406112,0.0002874220399564536,0.0002874220399564536,0.0002874220399564536,0.0002874220399564536,0.0002874220399564536,0.0002874220399564536,0.0,0.0,0.0,0.9991230078285567,
374,2023-02-04,0.9988338809425464,0.9873586876943046,1.014223630801434,0.9932485351776145,1.0047493003043537,0.0019659348703401076,0.0019659348703401076,0.0019659348703401076,0.0019659348703401076,0.0019659348703401076,0.0019659348703401076,0.0,0.0,0.0,1.0007998158128866,
375,2023-02-05,0.9988321760964926,0.9869428925510285,1.013496843171052,0.993192122237844,1.0047940598680964,0.0019659324788594136,0.0019659324788594136,0.0019659324788594136,0.0019659324788594136,0.0019659324788594136,0.0019659324788594136,0.0,0.0,0.0,1.000798108575352,
376,2023-02-06,0.9988304712504387,0.9841539936739921,1.011500968282503,0.9931444141668188,1.0048326913325136,-0.000996243935350125,-0.000996243935350125,-0.000996243935350125,-0.000996243935350125,-0.000996243935350125,-0.000996243935350125,0.0,0.0,0.0,0.9978342273150885,
377,2023-02-07,0.9988287664043848,0.9869420846875053,1.0138198949705846,0.9930984417897486,1.0048667905562345,0.0011075618361146824,0.0011075618361146824,0.0011075618361146824,0.0011075618361146824,0.0011075618361146824,0.0011075618361146824,0.0,0.0,0.0,0.9999363282404995,
378,2023-02-08,0.9988270615583309,0.9824799884464117,1.010937855283834,0.9930516497306145,1.0048796100728241,-0.0025020253463034084,-0.0025020253463034084,-0.0025020253463034084,-0.0025020253463034084,-0.0025020253463034084,-0.0025020253463034084,0.0,0.0,0.0,0.9963250362120275,
379,2023-02-09,0.998825356712277,0.9846100253830224,1.0119292963178306,0.9929941023824292,1.0048924295894137,-0.001828581943612999,-0.001828581943612999,-0.001828581943612999,-0.001828581943612999,-0.001828581943612999,-0.001828581943612999,0.0,0.0,0.0,0.996996774768664,
380,2023-02-10,0.9988236518662232,0.9857553118531563,1.0125276521499387,0.9929371721164797,1.0049052491060033,0.0002874220399526903,0.0002874220399526903,0.0002874220399526903,0.0002874220399526903,0.0002874220399526903,0.0002874220399526903,0.0,0.0,0.0,0.9991110739061759,
381,2023-02-11,0.9988219470201694,0.9874836871235381,1.0141815623136772,0.9928986117862288,1.0049539317633596,0.0019659348703310424,0.0019659348703310424,0.0019659348703310424,0.0019659348703310424,0.0019659348703310424,0.0019659348703310424,0.0,0.0,0.0,1.0007878818905005,
382,2023-02-12,0.9988202421741155,0.9875434980083925,1.0143483609191026,0.9928717703182385,1.005005134637706,0.001965932478866798,0.001965932478866798,0.001965932478866798,0.001965932478866798,0.001965932478866798,0.001965932478866798,0.0,0.0,0.0,1.0007861746529823,
383,2023-02-13,0.9988185373280616,0.9839881433194653,1.0120920165764853,0.9928354961294525,1.005056383204638,-0.0009962439353507074,-0.0009962439353507074,-0.0009962439353507074,-0.0009962439353507074,-0.0009962439353507074,-0.0009962439353507074,0.0,0.0,0.0,0.9978222933927109,
384,2023-02-14,0.9988168324820077,0.9868007177117936,1.0131954762324076,0.9927933859833452,1.0051076597911794,0.0011075618361138671,0.0011075618361138671,0.0011075618361138671,0.0011075618361138671,0.0011075618361138671,0.0011075618361138671,0.0,0.0,0.0,0.9999243943181215,
385,2023-02-15,0.9988151276359538,0.9834650234929161,1.0096634076681075,0.9927515138721471,1.0051589363777211,-0.002502025346299083,-0.002502025346299083,-0.002502025346299083,-0.002502025346299083,-0.002502025346299083,-0.002502025346299083,0.0,0.0,0.0,0.9963131022896548,
386,2023-02-16,0.9988134227898999,0.9831011900405757,1.0115207413728884,0.9927096417609491,1.0052102129642626,-0.0018285819436066723,-0.0018285819436066723,-0.0018285819436066723,-0.0018285819436066723,-0.0018285819436066723,-0.0018285819436066723,0.0,0.0,0.0,0.9969848408462932,
387,2023-02-17,0.998811717943846,0.985369202947708,1.0126103840493939,0.9926677696497511,1.005254543888413,0.0002874220399651332,0.0002874220399651332,0.0002874220399651332,0.0002874220399651332,0.0002874220399651332,0.0002874220399651332,0.0,0.0,0.0,0.9990991399838112,
388,2023-02-18,0.9988100130977922,0.9862343710159186,1.0139302944781539,0.9926258975385531,1.0052950813290553,0.001965934870336929,0.001965934870336929,0.001965934870336929,0.001965934870336929,0.001965934870336929,0.001965934870336929,0.0,0.0,0.0,1.000775947968129,
389,2023-02-19,0.9988083082517383,0.9874511736121138,1.015154514813783,0.992584025427355,1.0053356187696973,0.001965932478866653,0.001965932478866653,0.001965932478866653,0.001965932478866653,0.001965932478866653,0.001965932478866653,0.0,0.0,0.0,1.0007742407306048,
390,2023-02-20,0.9988066034056845,0.9847707094902706,1.0116609364703002,0.992542153316157,1.0053761562103396,-0.0009962439353512899,-0.0009962439353512899,-0.0009962439353512899,-0.0009962439353512899,-0.0009962439353512899,-0.0009962439353512899,0.0,0.0,0.0,0.9978103594703333,
391,2023-02-21,0.9988048985596306,0.9859911921331493,1.0140541403385703,0.992500281204959,1.0054166936509819,0.0011075618361144587,0.0011075618361144587,0.0011075618361144587,0.0011075618361144587,0.0011075618361144587,0.0011075618361144587,0.0,0.0,0.0,0.9999124603957451,
392,2023-02-22,0.9988031937135767,0.982623121181765,1.009911172429639,0.9924584090937612,1.005457196562331,-0.002502025346304228,-0.002502025346304228,-0.002502025346304228,-0.002502025346304228,-0.002502025346304228,-0.002502025346304228,0.0,0.0,0.0,0.9963011683672724,
393,2023-02-23,0.9988014888675228,0.9834099386681858,1.0107458555371018,0.9924171214995435,1.005496553766348,-0.0018285819436120079,-0.0018285819436120079,-0.0018285819436120079,-0.0018285819436120079,-0.0018285819436120079,-0.0018285819436120079,0.0,0.0,0.0,0.9969729069239108,
