,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_주식회사 아이티엠코퍼레이션건축사사무소,y
307,2022-11-28,1.0054325032592994,0.9928986613653826,1.0193233305609586,1.0006363611703843,1.0102404216710725,0.0007116947518634494,0.0007116947518634494,0.0007116947518634494,0.0007116947518634494,0.0007116947518634494,0.0007116947518634494,0.0,0.0,0.0,1.006144198011163,
308,2022-11-29,1.005451237536102,0.9926076700185019,1.0177159465723262,1.0005991999614035,1.0103359565085839,-3.540651748674258e-05,-3.540651748674258e-05,-3.540651748674258e-05,-3.540651748674258e-05,-3.540651748674258e-05,-3.540651748674258e-05,0.0,0.0,0.0,1.0054158310186152,
309,2022-11-30,1.0054699718129043,0.9907036087647672,1.0167603443251698,1.0005768203209864,1.0104314913460954,-0.0013969107106114014,-0.0013969107106114014,-0.0013969107106114014,-0.0013969107106114014,-0.0013969107106114014,-0.0013969107106114014,0.0,0.0,0.0,1.004073061102293,
310,2022-12-01,1.0054887060897069,0.9920696508249681,1.017895661115882,1.0005504830867098,1.0105260924794206,-0.0002828663909708693,-0.0002828663909708693,-0.0002828663909708693,-0.0002828663909708693,-0.0002828663909708693,-0.0002828663909708693,0.0,0.0,0.0,1.005205839698736,
311,2022-12-02,1.0055074403665092,0.9928986584185706,1.018076959022358,1.000498032313829,1.0105797538767662,0.00011897972704217737,0.00011897972704217737,0.00011897972704217737,0.00011897972704217737,0.00011897972704217737,0.00011897972704217737,0.0,0.0,0.0,1.0056264200935514,
312,2022-12-03,1.0055261746433115,0.9922343893652722,1.018463318524793,1.0004455815409485,1.0106262220994455,0.00044225462641160775,0.00044225462641160775,0.00044225462641160775,0.00044225462641160775,0.00044225462641160775,0.00044225462641160775,0.0,0.0,0.0,1.005968429269723,
313,2022-12-04,1.005544908920114,0.9931415108621879,1.0191899412591359,1.0003931307680678,1.0106726903221246,0.00044225451375651514,0.00044225451375651514,0.00044225451375651514,0.00044225451375651514,0.00044225451375651514,0.00044225451375651514,0.0,0.0,0.0,1.0059871634338706,
314,2022-12-05,1.0055636431969166,0.9923977898048364,1.0189502175080891,1.0003464324943625,1.0107181655747546,0.0007116947518611107,0.0007116947518611107,0.0007116947518611107,0.0007116947518611107,0.0007116947518611107,0.0007116947518611107,0.0,0.0,0.0,1.0062753379487777,
315,2022-12-06,1.005582377473719,0.9922923044142795,1.018783268301312,1.000287463544691,1.010801943675861,-3.540651748884014e-05,-3.540651748884014e-05,-3.540651748884014e-05,-3.540651748884014e-05,-3.540651748884014e-05,-3.540651748884014e-05,0.0,0.0,0.0,1.0055469709562301,
316,2022-12-07,1.0056011117505215,0.9910674205513564,1.017509635714138,1.000255822743042,1.0109070442512786,-0.0013969107106124494,-0.0013969107106124494,-0.0013969107106124494,-0.0013969107106124494,-0.0013969107106124494,-0.0013969107106124494,0.0,0.0,0.0,1.004204201039909,
317,2022-12-08,1.0056198460273238,0.9926797803408818,1.0180028271074142,1.0002296362777616,1.0110121448266967,-0.00028286639096998604,-0.00028286639096998604,-0.00028286639096998604,-0.00028286639096998604,-0.00028286639096998604,-0.00028286639096998604,0.0,0.0,0.0,1.0053369796363538,
318,2022-12-09,1.0056385803041261,0.9930033311091141,1.0192001405900561,1.00020302536792,1.011074892751807,0.00011897972704122968,0.00011897972704122968,0.00011897972704122968,0.00011897972704122968,0.00011897972704122968,0.00011897972704122968,0.0,0.0,0.0,1.0057575600311675,
319,2022-12-10,1.0056573145809287,0.9924442313366161,1.0190305684654215,1.0001673271115141,1.011127578990904,0.00044225462641117765,0.00044225462641117765,0.00044225462641117765,0.00044225462641117765,0.00044225462641117765,0.00044225462641117765,0.0,0.0,0.0,1.0060995692073398,
