,ds,yhat_(주)토문엔지니어링 건축사사무소_x,yhat_(주)토문엔지니어링 건축사사무소_y,yhat_(자)건축사사무소 태백,yhat_주식회사 영화키스톤건축사사무소,yhat_주식회사 동우이앤씨,yhat_(주)한림이앤씨건축사사무소,yhat_주식회사 아이티엠코퍼레이션건축사사무소,yhat_(주)케이디엔지니어링건축사사무소,yhat_(주)토펙엔지니어링건축사사무소,yhat_(주)한국종합건축사사무소,yhat_(주)태원종합기술단건축사사무소,yhat_주식회사 선엔지니어링종합건축사사무소
346,2023-02-16,0.9939638187472304,0.9939638187472304,0.9973552901666928,0.9969848408462932,0.9869673234084092,0.9960430255383212,1.0066483790125234,1.0067689437382432,1.0160345390457564,0.9884858931409988,1.0021712347400595,1.0033765883434649
347,2023-02-17,0.9941821896985308,0.9941821896985308,0.9930586875948294,0.9990991399838112,0.9885170682032464,0.9970721857692746,1.0070689594073394,1.006988581301309,1.0141765018958655,0.990777801910131,1.0021778789032223,1.0025445199625078
348,2023-02-18,0.9933161531004334,0.9933161531004334,0.9907356115775852,1.000775947968129,0.9979349781460634,0.9967129158097228,1.0074109685835115,1.004889890884619,1.0115295988056567,0.9873090223899544,1.002116585297057,0.9973966995928092
349,2023-02-19,0.9933192896452104,0.9933192896452104,0.9907382946362568,1.0007742407306048,0.9979384647833824,0.9967058933024744,1.007429702747659,1.0049173486491567,1.0115882833246013,0.9873014575435308,1.0021331712896178,0.9973984138796964
350,2023-02-20,0.993982054486342,0.993982054486342,0.9948670575672452,0.9978103594703333,0.9889778475587924,0.9986573455922356,1.007717877262565,1.0061790885898054,1.014287070606058,0.9896532279132156,1.0023774136395982,1.0040961687575745
351,2023-02-21,0.9945851447811748,0.9945851447811748,0.996118807987352,0.9999124603957452,0.987830217796594,0.9982111073521688,1.006989510270017,1.007757804344059,1.0159090097733667,0.99029396333654,1.003033555686725,1.0034941863704812
352,2023-02-22,0.9937247555806132,0.9937247555806132,0.9956457328709036,0.9963011683672724,0.9865215757452878,0.9970056306675564,1.0056467403536968,1.0063177209061476,1.0167239543229143,0.9900035702533292,1.0032498760163893,1.0037150974286777
353,2023-02-23,0.993985773740223,0.993985773740223,0.9973740693505636,0.9969729069239108,0.98699172021066,0.9959938732252932,1.0067795189501367,1.0069611483899152,1.0164453131217528,0.9884329302797108,1.0022873311063845,1.0033885633625546
354,2023-02-24,0.9942041446915256,0.9942041446915256,0.9930774667787112,0.9990872060614164,0.9885414650054646,0.9970230334562482,1.0072000993449548,1.007180785952985,1.014587275971869,0.990724839048851,1.002293975269545,1.002556494981619
355,2023-02-25,0.9933381080934272,0.9933381080934272,0.9907543907614508,1.0007640140457503,0.9979593749483148,0.9966637634966962,1.007542108521128,1.0050820955362925,1.0119403728816487,0.9872560595286696,1.0022326816633798,0.9974086746118996
