,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat_(주)태원종합기술단건축사사무소,y
117,2021-11-29,0.9988121782574144,0.9909025914876555,1.006340241775183,0.9988121782574144,0.9988121782574144,-0.00010484520883021923,-0.00010484520883021923,-0.00010484520883021923,-0.00010484520883021923,-0.00010484520883021923,-0.00010484520883021923,0.0,0.0,0.0,0.9987073330485842,0.9965136
118,2021-11-30,0.9988056154820973,0.9911002341080415,1.0074002477636022,0.9988056154820973,0.9988056154820973,0.0005347116431091312,0.0005347116431091312,0.0005347116431091312,0.0005347116431091312,0.0005347116431091312,0.0005347116431091312,0.0,0.0,0.0,0.9993403271252065,1.0000141036
119,2021-12-01,0.9987990527067803,0.9920302337858183,1.0072263168272828,0.9987990527067803,0.9987990527067803,0.0007344467775855343,0.0007344467775855343,0.0007344467775855343,0.0007344467775855343,0.0007344467775855343,0.0007344467775855343,0.0,0.0,0.0,0.9995334994843658,0.996962
120,2021-12-02,0.9987924899314631,0.991082245267071,1.006722226594876,0.9987924899314631,0.9987924899314631,-0.00024468332761077086,-0.00024468332761077086,-0.00024468332761077086,-0.00024468332761077086,-0.00024468332761077086,-0.00024468332761077086,0.0,0.0,0.0,0.9985478066038523,0.9959859
121,2021-12-06,0.9987662388301944,0.9905471479596244,1.006209183864504,0.9987662388301944,0.9987662388301944,-0.00010484520883047231,-0.00010484520883047231,-0.00010484520883047231,-0.00010484520883047231,-0.00010484520883047231,-0.00010484520883047231,0.0,0.0,0.0,0.998661393621364,0.9963134
122,2021-12-07,0.9987596760548774,0.9914221045501739,1.0075573279329464,0.9987596760548774,0.9987596760548774,0.0005347116431062998,0.0005347116431062998,0.0005347116431062998,0.0005347116431062998,0.0005347116431062998,0.0005347116431062998,0.0,0.0,0.0,0.9992943876979836,0.9969857
123,2021-12-08,0.9987531132795602,0.9914679880095661,1.007914303988916,0.9987531132795602,0.9987531132795602,0.0007344467775847745,0.0007344467775847745,0.0007344467775847745,0.0007344467775847745,0.0007344467775847745,0.0007344467775847745,0.0,0.0,0.0,0.999487560057145,0.9971945
124,2021-12-09,0.9987465505042431,0.9907636356276832,1.0066100665780593,0.9987465505042431,0.9987465505042431,-0.00024468332761126254,-0.00024468332761126254,-0.00024468332761126254,-0.00024468332761126254,-0.00024468332761126254,-0.00024468332761126254,0.0,0.0,0.0,0.9985018671766318,0.9970392
125,2021-12-10,0.9987399895605814,0.99050657153647,1.0065927895247428,0.9987399895605814,0.9987399895605814,-0.0002546243596380862,-0.0002546243596380862,-0.0002546243596380862,-0.0002546243596380862,-0.0002546243596380862,-0.0002546243596380862,0.0,0.0,0.0,0.9984853652009433,0.9974561316
126,2021-12-13,0.9987203067295962,0.9906694928510407,1.0062242858965282,0.9987203067295962,0.9987203067295962,-0.00010484520883072543,-0.00010484520883072543,-0.00010484520883072543,-0.00010484520883072543,-0.00010484520883072543,-0.00010484520883072543,0.0,0.0,0.0,0.9986154615207655,0.9941142289
127,2021-12-14,0.9987137457859345,0.991158987592418,1.0076698149073835,0.9987137457859345,0.9987137457859345,0.000534711643107314,0.000534711643107314,0.000534711643107314,0.000534711643107314,0.000534711643107314,0.000534711643107314,0.0,0.0,0.0,0.9992484574290419,1.0010370361
128,2021-12-16,0.998700623898611,0.9904350711428181,1.0059507200005646,0.998700623898611,0.998700623898611,-0.00024468332761175423,-0.00024468332761175423,-0.00024468332761175423,-0.00024468332761175423,-0.00024468332761175423,-0.00024468332761175423,0.0,0.0,0.0,0.9984559405709993,1.0011384756
129,2021-12-17,0.9986940629549494,0.9904916899977404,1.005750396597328,0.9986940629549494,0.9986940629549494,-0.00025462435963773957,-0.00025462435963773957,-0.00025462435963773957,-0.00025462435963773957,-0.00025462435963773957,-0.00025462435963773957,0.0,0.0,0.0,0.9984394385953117,0.9971887218
130,2021-12-20,0.9986743801239641,0.9905546855952484,1.0065915937769927,0.9986743801239641,0.9986743801239641,-0.000104845208829115,-0.000104845208829115,-0.000104845208829115,-0.000104845208829115,-0.000104845208829115,-0.000104845208829115,0.0,0.0,0.0,0.998569534915135,0.9960432484
131,2021-12-21,0.9986678191803025,0.9909572033302747,1.0071922389160841,0.9986678191803025,0.9986678191803025,0.0005347116431075561,0.0005347116431075561,0.0005347116431075561,0.0005347116431075561,0.0005347116431075561,0.0005347116431075561,0.0,0.0,0.0,0.99920253082341,0.9960311
132,2021-12-22,0.9986612580370643,0.9913499773514466,1.0075295217710794,0.9986612580370643,0.9986612580370643,0.000734446777584174,0.000734446777584174,0.000734446777584174,0.000734446777584174,0.000734446777584174,0.000734446777584174,0.0,0.0,0.0,0.9993957048146485,0.9969702
133,2021-12-23,0.9986546968938262,0.9907517404107973,1.0061514577760493,0.9986546968938262,0.9986546968938262,-0.0002446833276096082,-0.0002446833276096082,-0.0002446833276096082,-0.0002446833276096082,-0.0002446833276096082,-0.0002446833276096082,0.0,0.0,0.0,0.9984100135662166,1.0166457
134,2021-12-24,0.9986481357505881,0.9903048976009086,1.0062034495820138,0.9986481357505881,0.9986481357505881,-0.0002546243596381103,-0.0002546243596381103,-0.0002546243596381103,-0.0002546243596381103,-0.0002546243596381103,-0.0002546243596381103,0.0,0.0,0.0,0.99839351139095,0.9970761
135,2021-12-27,0.9986284523208737,0.9901250690336281,1.0065437090713152,0.9986284523208737,0.9986284523208737,-0.00010484520882936811,-0.00010484520882936811,-0.00010484520882936811,-0.00010484520882936811,-0.00010484520882936811,-0.00010484520882936811,0.0,0.0,0.0,0.9985236071120444,1.0004292
136,2021-12-29,0.9986153300343975,0.9913073144654755,1.0072024192381885,0.9986153300343975,0.9986153300343975,0.0007344467775838738,0.0007344467775838738,0.0007344467775838738,0.0007344467775838738,0.0007344467775838738,0.0007344467775838738,0.0,0.0,0.0,0.9993497768119813,1.0011821
137,2021-12-30,0.9986087688911593,0.9901477033022507,1.006419968307588,0.9986087688911593,0.9986087688911593,-0.00024468332761004395,-0.00024468332761004395,-0.00024468332761004395,-0.00024468332761004395,-0.00024468332761004395,-0.00024468332761004395,0.0,0.0,0.0,0.9983640855635493,0.9999433
138,2021-12-31,0.9986022077479213,0.9905452512814318,1.0063962937001598,0.9986022077479213,0.9986022077479213,-0.00025462435963776386,-0.00025462435963776386,-0.00025462435963776386,-0.00025462435963776386,-0.00025462435963776386,-0.00025462435963776386,0.0,0.0,0.0,0.9983475833882836,0.996132
139,2022-01-03,0.9985825243182069,0.9900374893579477,1.0064408857091518,0.9985825243182069,0.9985825243182069,-0.00010484520883125896,-0.00010484520883125896,-0.00010484520883125896,-0.00010484520883125896,-0.00010484520883125896,-0.00010484520883125896,0.0,0.0,0.0,0.9984776791093757,0.9863096
140,2022-01-05,0.9985694019109521,0.9914801792862629,1.0068575605270969,0.9985694019109521,0.9985694019109521,0.0007344467775831139,0.0007344467775831139,0.0007344467775831139,0.0007344467775831139,0.0007344467775831139,0.0007344467775831139,0.0,0.0,0.0,0.9993038486885353,1.0010536
141,2022-01-06,0.9985628407073247,0.9899843698026868,1.0062285078868025,0.9985628407073247,0.9985628407073247,-0.00024468332761059153,-0.00024468332761059153,-0.00024468332761059153,-0.00024468332761059153,-0.00024468332761059153,-0.00024468332761059153,0.0,0.0,0.0,0.9983181573797141,1.000516
142,2022-01-07,0.9985562795036973,0.9907458608601496,1.00634995546155,0.9985562795036973,0.9985562795036973,-0.00025462435963741724,-0.00025462435963741724,-0.00025462435963741724,-0.00025462435963741724,-0.00025462435963741724,-0.00025462435963741724,0.0,0.0,0.0,0.9983016551440599,0.9970196
143,2022-01-10,0.998536595892815,0.9905717735025295,1.00614234440185,0.998536595892815,0.998536595892815,-0.0001048452088305803,-0.0001048452088305803,-0.0001048452088305803,-0.0001048452088305803,-0.0001048452088305803,-0.0001048452088305803,0.0,0.0,0.0,0.9984317506839844,1.0010768
